start_month,end_month,mean_temperature_c,days,status,rank_warmest
1884-01-01,1884-12-01,8.709563,366,published-inputs,866
1884-02-01,1885-01-01,8.438525,366,published-inputs,1201
1884-03-01,1885-02-01,8.495890,365,published-inputs,1124
1884-04-01,1885-03-01,8.376986,365,published-inputs,1270
1884-05-01,1885-04-01,8.401644,365,published-inputs,1230
1884-06-01,1885-05-01,8.214795,365,published-inputs,1430
1884-07-01,1885-06-01,8.223014,365,published-inputs,1423
1884-08-01,1885-07-01,8.231507,365,published-inputs,1417
1884-09-01,1885-08-01,8.019178,365,published-inputs,1532
1884-10-01,1885-09-01,7.846575,365,published-inputs,1599
1884-11-01,1885-10-01,7.659726,365,published-inputs,1643
1884-12-01,1885-11-01,7.651507,365,published-inputs,1644
1885-01-01,1885-12-01,7.558082,365,published-inputs,1660
1885-02-01,1886-01-01,7.456164,365,published-inputs,1672
1885-03-01,1886-02-01,7.164658,365,published-inputs,1691
1885-04-01,1886-03-01,7.079726,365,published-inputs,1695
1885-05-01,1886-04-01,7.129041,365,published-inputs,1693
1885-06-01,1886-05-01,7.290411,365,published-inputs,1686
1885-07-01,1886-06-01,7.282192,365,published-inputs,1687
1885-08-01,1886-07-01,7.290685,365,published-inputs,1685
1885-09-01,1886-08-01,7.435068,365,published-inputs,1674
1885-10-01,1886-09-01,7.525479,365,published-inputs,1662
1885-11-01,1886-10-01,7.831233,365,published-inputs,1606
1885-12-01,1886-11-01,7.921644,365,published-inputs,1573
1886-01-01,1886-12-01,7.862192,365,published-inputs,1595
1886-02-01,1887-01-01,7.947123,365,published-inputs,1562
1886-03-01,1887-02-01,8.108219,365,published-inputs,1489
1886-04-01,1887-03-01,8.116712,365,published-inputs,1485
1886-05-01,1887-04-01,7.976986,365,published-inputs,1552
1886-06-01,1887-05-01,7.892055,365,published-inputs,1583
1886-07-01,1887-06-01,8.081096,365,published-inputs,1502
1886-08-01,1887-07-01,8.166027,365,published-inputs,1456
1886-09-01,1887-08-01,8.132055,365,published-inputs,1478
1886-10-01,1887-09-01,8.000548,365,published-inputs,1539
1886-11-01,1887-10-01,7.694795,365,published-inputs,1637
1886-12-01,1887-11-01,7.481096,365,published-inputs,1669
1887-01-01,1887-12-01,7.506575,365,published-inputs,1668
1887-02-01,1888-01-01,7.523562,365,published-inputs,1663
1887-03-01,1888-02-01,7.353279,366,published-inputs,1677
1887-04-01,1888-03-01,7.310929,366,published-inputs,1682
1887-05-01,1888-04-01,7.335519,366,published-inputs,1680
1887-06-01,1888-05-01,7.428689,366,published-inputs,1675
1887-07-01,1888-06-01,7.240164,366,published-inputs,1688
1887-08-01,1888-07-01,7.003005,366,published-inputs,1697
1887-09-01,1888-08-01,6.918306,366,published-inputs,1699
1887-10-01,1888-09-01,6.967486,366,published-inputs,1698
1887-11-01,1888-10-01,7.077596,366,published-inputs,1696
1887-12-01,1888-11-01,7.348087,366,published-inputs,1678
1888-01-01,1888-12-01,7.517486,366,published-inputs,1665
1888-02-01,1889-01-01,7.568306,366,published-inputs,1654
1888-03-01,1889-02-01,7.693151,365,published-inputs,1638
1888-04-01,1889-03-01,7.820548,365,published-inputs,1610
1888-05-01,1889-04-01,7.861644,365,published-inputs,1596
1888-06-01,1889-05-01,7.980548,365,published-inputs,1550
1888-07-01,1889-06-01,8.112055,365,published-inputs,1487
1888-08-01,1889-07-01,8.213973,365,published-inputs,1432
1888-09-01,1889-08-01,8.247945,365,published-inputs,1405
1888-10-01,1889-09-01,8.313699,365,published-inputs,1347
1888-11-01,1889-10-01,8.313699,365,published-inputs,1347
1888-12-01,1889-11-01,8.264384,365,published-inputs,1391
1889-01-01,1889-12-01,8.153973,365,published-inputs,1462
1889-02-01,1890-01-01,8.332329,365,published-inputs,1325
1889-03-01,1890-02-01,8.316986,365,published-inputs,1342
1889-04-01,1890-03-01,8.444384,365,published-inputs,1187
1889-05-01,1890-04-01,8.485479,365,published-inputs,1134
1889-06-01,1890-05-01,8.460000,365,published-inputs,1168
1889-07-01,1890-06-01,8.336712,365,published-inputs,1321
1889-08-01,1890-07-01,8.277260,365,published-inputs,1378
1889-09-01,1890-08-01,8.260274,365,published-inputs,1394
1889-10-01,1890-09-01,8.391781,365,published-inputs,1243
1889-11-01,1890-10-01,8.493699,365,published-inputs,1126
1889-12-01,1890-11-01,8.436164,365,published-inputs,1203
1890-01-01,1890-12-01,8.087945,365,published-inputs,1498
1890-02-01,1891-01-01,7.756712,365,published-inputs,1626
1890-03-01,1891-02-01,7.933151,365,published-inputs,1567
1890-04-01,1891-03-01,7.771781,365,published-inputs,1623
1890-05-01,1891-04-01,7.697808,365,published-inputs,1636
1890-06-01,1891-05-01,7.527945,365,published-inputs,1661
1890-07-01,1891-06-01,7.626575,365,published-inputs,1648
1890-08-01,1891-07-01,7.660548,365,published-inputs,1642
1890-09-01,1891-08-01,7.635068,365,published-inputs,1647
1890-10-01,1891-09-01,7.602192,365,published-inputs,1653
1890-11-01,1891-10-01,7.559726,365,published-inputs,1659
1890-12-01,1891-11-01,7.510411,365,published-inputs,1666
1891-01-01,1891-12-01,7.926575,365,published-inputs,1569
1891-02-01,1892-01-01,7.960548,365,published-inputs,1559
