year,derived_from_rounded_months_c,official_annual_mean_c,difference_c,absolute_difference_c
1884,8.709563,8.710000,-0.000437,0.000437
1885,7.558082,7.570000,-0.011918,0.011918
1886,7.862192,7.860000,0.002192,0.002192
1887,7.506575,7.520000,-0.013425,0.013425
1888,7.517486,7.520000,-0.002514,0.002514
1889,8.153973,8.160000,-0.006027,0.006027
1890,8.087945,8.080000,0.007945,0.007945
1891,7.926575,7.910000,0.016575,0.016575
1892,7.463934,7.460000,0.003934,0.003934
1893,9.340000,9.340000,0.000000,0.000000
1894,8.559726,8.550000,0.009726,0.009726
1895,7.746849,7.740000,0.006849,0.006849
1896,8.510109,8.500000,0.010109,0.010109
1897,8.717260,8.720000,-0.002740,0.002740
1898,9.156164,9.160000,-0.003836,0.003836
1899,9.052329,9.050000,0.002329,0.002329
1900,8.544658,8.530000,0.014658,0.014658
1901,8.267397,8.270000,-0.002603,0.002603
1902,8.042466,8.030000,0.012466,0.012466
1903,8.330411,8.330000,0.000411,0.000411
1904,8.217486,8.220000,-0.002514,0.002514
1905,8.298356,8.320000,-0.021644,0.021644
1906,8.500822,8.500000,0.000822,0.000822
1907,8.160548,8.150000,0.010548,0.010548
1908,8.662568,8.660000,0.002568,0.002568
1909,7.924932,7.920000,0.004932,0.004932
1910,8.502192,8.510000,-0.007808,0.007808
1911,9.237808,9.240000,-0.002192,0.002192
1912,8.589071,8.600000,-0.010929,0.010929
1913,9.067945,9.070000,-0.002055,0.002055
1914,9.078904,9.090000,-0.011096,0.011096
1915,8.272329,8.280000,-0.007671,0.007671
1916,8.419945,8.420000,-0.000055,0.000055
1917,7.771233,7.770000,0.001233,0.001233
1918,8.822192,8.820000,0.002192,0.002192
1919,7.787671,7.780000,0.007671,0.007671
1920,8.814754,8.810000,0.004754,0.004754
1921,9.708767,9.700000,0.008767,0.008767
1922,7.965205,7.960000,0.005205,0.005205
1923,8.425479,8.430000,-0.004521,0.004521
1924,8.504918,8.490000,0.014918,0.014918
1925,8.446849,8.450000,-0.003151,0.003151
1926,8.930411,8.940000,-0.009589,0.009589
1927,8.466027,8.480000,-0.013973,0.013973
1928,8.801366,8.800000,0.001366,0.001366
1929,8.265205,8.270000,-0.004795,0.004795
1930,8.600000,8.600000,0.000000,0.000000
1931,8.258082,8.280000,-0.021918,0.021918
1932,8.607377,8.600000,0.007377,0.007377
1933,8.880000,8.860000,0.020000,0.020000
