start_month,end_month,period_label,mean_temperature_c,days,status,rank_warmest,window_count
1884-01-01,1884-12-01,Jan 1884 to Dec 1884,8.709563,366,published-inputs,867,1701
1884-02-01,1885-01-01,Feb 1884 to Jan 1885,8.438525,366,published-inputs,1202,1701
1884-03-01,1885-02-01,Mar 1884 to Feb 1885,8.495890,365,published-inputs,1125,1701
1884-04-01,1885-03-01,Apr 1884 to Mar 1885,8.376986,365,published-inputs,1271,1701
1884-05-01,1885-04-01,May 1884 to Apr 1885,8.401644,365,published-inputs,1231,1701
1884-06-01,1885-05-01,Jun 1884 to May 1885,8.214795,365,published-inputs,1431,1701
1884-07-01,1885-06-01,Jul 1884 to Jun 1885,8.223014,365,published-inputs,1424,1701
1884-08-01,1885-07-01,Aug 1884 to Jul 1885,8.231507,365,published-inputs,1418,1701
1884-09-01,1885-08-01,Sep 1884 to Aug 1885,8.019178,365,published-inputs,1533,1701
1884-10-01,1885-09-01,Oct 1884 to Sep 1885,7.846575,365,published-inputs,1600,1701
1884-11-01,1885-10-01,Nov 1884 to Oct 1885,7.659726,365,published-inputs,1644,1701
1884-12-01,1885-11-01,Dec 1884 to Nov 1885,7.651507,365,published-inputs,1645,1701
1885-01-01,1885-12-01,Jan 1885 to Dec 1885,7.558082,365,published-inputs,1661,1701
1885-02-01,1886-01-01,Feb 1885 to Jan 1886,7.456164,365,published-inputs,1673,1701
1885-03-01,1886-02-01,Mar 1885 to Feb 1886,7.164658,365,published-inputs,1692,1701
1885-04-01,1886-03-01,Apr 1885 to Mar 1886,7.079726,365,published-inputs,1696,1701
1885-05-01,1886-04-01,May 1885 to Apr 1886,7.129041,365,published-inputs,1694,1701
1885-06-01,1886-05-01,Jun 1885 to May 1886,7.290411,365,published-inputs,1687,1701
1885-07-01,1886-06-01,Jul 1885 to Jun 1886,7.282192,365,published-inputs,1688,1701
1885-08-01,1886-07-01,Aug 1885 to Jul 1886,7.290685,365,published-inputs,1686,1701
1885-09-01,1886-08-01,Sep 1885 to Aug 1886,7.435068,365,published-inputs,1675,1701
1885-10-01,1886-09-01,Oct 1885 to Sep 1886,7.525479,365,published-inputs,1663,1701
1885-11-01,1886-10-01,Nov 1885 to Oct 1886,7.831233,365,published-inputs,1607,1701
1885-12-01,1886-11-01,Dec 1885 to Nov 1886,7.921644,365,published-inputs,1574,1701
1886-01-01,1886-12-01,Jan 1886 to Dec 1886,7.862192,365,published-inputs,1596,1701
1886-02-01,1887-01-01,Feb 1886 to Jan 1887,7.947123,365,published-inputs,1563,1701
1886-03-01,1887-02-01,Mar 1886 to Feb 1887,8.108219,365,published-inputs,1490,1701
1886-04-01,1887-03-01,Apr 1886 to Mar 1887,8.116712,365,published-inputs,1486,1701
1886-05-01,1887-04-01,May 1886 to Apr 1887,7.976986,365,published-inputs,1553,1701
1886-06-01,1887-05-01,Jun 1886 to May 1887,7.892055,365,published-inputs,1584,1701
1886-07-01,1887-06-01,Jul 1886 to Jun 1887,8.081096,365,published-inputs,1503,1701
1886-08-01,1887-07-01,Aug 1886 to Jul 1887,8.166027,365,published-inputs,1457,1701
1886-09-01,1887-08-01,Sep 1886 to Aug 1887,8.132055,365,published-inputs,1479,1701
1886-10-01,1887-09-01,Oct 1886 to Sep 1887,8.000548,365,published-inputs,1540,1701
1886-11-01,1887-10-01,Nov 1886 to Oct 1887,7.694795,365,published-inputs,1638,1701
1886-12-01,1887-11-01,Dec 1886 to Nov 1887,7.481096,365,published-inputs,1670,1701
1887-01-01,1887-12-01,Jan 1887 to Dec 1887,7.506575,365,published-inputs,1669,1701
1887-02-01,1888-01-01,Feb 1887 to Jan 1888,7.523562,365,published-inputs,1664,1701
1887-03-01,1888-02-01,Mar 1887 to Feb 1888,7.353279,366,published-inputs,1678,1701
1887-04-01,1888-03-01,Apr 1887 to Mar 1888,7.310929,366,published-inputs,1683,1701
1887-05-01,1888-04-01,May 1887 to Apr 1888,7.335519,366,published-inputs,1681,1701
1887-06-01,1888-05-01,Jun 1887 to May 1888,7.428689,366,published-inputs,1676,1701
1887-07-01,1888-06-01,Jul 1887 to Jun 1888,7.240164,366,published-inputs,1689,1701
1887-08-01,1888-07-01,Aug 1887 to Jul 1888,7.003005,366,published-inputs,1698,1701
1887-09-01,1888-08-01,Sep 1887 to Aug 1888,6.918306,366,published-inputs,1700,1701
1887-10-01,1888-09-01,Oct 1887 to Sep 1888,6.967486,366,published-inputs,1699,1701
1887-11-01,1888-10-01,Nov 1887 to Oct 1888,7.077596,366,published-inputs,1697,1701
1887-12-01,1888-11-01,Dec 1887 to Nov 1888,7.348087,366,published-inputs,1679,1701
1888-01-01,1888-12-01,Jan 1888 to Dec 1888,7.517486,366,published-inputs,1666,1701
1888-02-01,1889-01-01,Feb 1888 to Jan 1889,7.568306,366,published-inputs,1655,1701
1888-03-01,1889-02-01,Mar 1888 to Feb 1889,7.693151,365,published-inputs,1639,1701
1888-04-01,1889-03-01,Apr 1888 to Mar 1889,7.820548,365,published-inputs,1611,1701
1888-05-01,1889-04-01,May 1888 to Apr 1889,7.861644,365,published-inputs,1597,1701
1888-06-01,1889-05-01,Jun 1888 to May 1889,7.980548,365,published-inputs,1551,1701
1888-07-01,1889-06-01,Jul 1888 to Jun 1889,8.112055,365,published-inputs,1488,1701
1888-08-01,1889-07-01,Aug 1888 to Jul 1889,8.213973,365,published-inputs,1433,1701
1888-09-01,1889-08-01,Sep 1888 to Aug 1889,8.247945,365,published-inputs,1406,1701
1888-10-01,1889-09-01,Oct 1888 to Sep 1889,8.313699,365,published-inputs,1348,1701
1888-11-01,1889-10-01,Nov 1888 to Oct 1889,8.313699,365,published-inputs,1348,1701
1888-12-01,1889-11-01,Dec 1888 to Nov 1889,8.264384,365,published-inputs,1392,1701
1889-01-01,1889-12-01,Jan 1889 to Dec 1889,8.153973,365,published-inputs,1463,1701
1889-02-01,1890-01-01,Feb 1889 to Jan 1890,8.332329,365,published-inputs,1326,1701
1889-03-01,1890-02-01,Mar 1889 to Feb 1890,8.316986,365,published-inputs,1343,1701
1889-04-01,1890-03-01,Apr 1889 to Mar 1890,8.444384,365,published-inputs,1188,1701
1889-05-01,1890-04-01,May 1889 to Apr 1890,8.485479,365,published-inputs,1135,1701
1889-06-01,1890-05-01,Jun 1889 to May 1890,8.460000,365,published-inputs,1169,1701
1889-07-01,1890-06-01,Jul 1889 to Jun 1890,8.336712,365,published-inputs,1322,1701
