period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,smoothed_trend_c,reference_mean_c,lowest_published_c,highest_published_c,latest_c,latest_status,july_2026_value_c,source_last_updated
1884-08 to 1885-07,1884-08-01,1885-07-31,1885,8.231507,365,published-inputs,117,8.021062,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1885-08 to 1886-07,1885-08-01,1886-07-31,1886,7.290685,365,published-inputs,141,8.044890,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1886-08 to 1887-07,1886-08-01,1887-07-31,1887,8.166027,365,published-inputs,123,8.070510,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1887-08 to 1888-07,1887-08-01,1888-07-31,1888,7.003005,366,published-inputs,142,8.097746,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1888-08 to 1889-07,1888-08-01,1889-07-31,1889,8.213973,365,published-inputs,119,8.126340,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1889-08 to 1890-07,1889-08-01,1890-07-31,1890,8.277260,365,published-inputs,115,8.155955,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1890-08 to 1891-07,1890-08-01,1891-07-31,1891,7.660548,365,published-inputs,139,8.186173,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1891-08 to 1892-07,1891-08-01,1892-07-31,1892,7.791803,366,published-inputs,137,8.216511,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1892-08 to 1893-07,1892-08-01,1893-07-31,1893,8.777534,365,published-inputs,63,8.246441,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1893-08 to 1894-07,1893-08-01,1894-07-31,1894,8.732603,365,published-inputs,70,8.275416,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
