start_year,end_year,period_label,mean_temperature_c,reference_period_definition,reference_mean_c,temperature_anomaly_c,status
1884,1885,1884–85,8.231507,August–July periods ending 1961–2010,8.892188,-0.660681,published inputs
1885,1886,1885–86,7.290685,August–July periods ending 1961–2010,8.892188,-1.601503,published inputs
1886,1887,1886–87,8.166027,August–July periods ending 1961–2010,8.892188,-0.726161,published inputs
1887,1888,1887–88,7.003005,August–July periods ending 1961–2010,8.892188,-1.889183,published inputs
1888,1889,1888–89,8.213973,August–July periods ending 1961–2010,8.892188,-0.678215,published inputs
1889,1890,1889–90,8.277260,August–July periods ending 1961–2010,8.892188,-0.614928,published inputs
1890,1891,1890–91,7.660548,August–July periods ending 1961–2010,8.892188,-1.231640,published inputs
1891,1892,1891–92,7.791803,August–July periods ending 1961–2010,8.892188,-1.100385,published inputs
1892,1893,1892–93,8.777534,August–July periods ending 1961–2010,8.892188,-0.114654,published inputs
1893,1894,1893–94,8.732603,August–July periods ending 1961–2010,8.892188,-0.159585,published inputs
1894,1895,1894–95,7.680000,August–July periods ending 1961–2010,8.892188,-1.212188,published inputs
1895,1896,1895–96,9.137978,August–July periods ending 1961–2010,8.892188,0.245790,published inputs
1896,1897,1896–97,7.934247,August–July periods ending 1961–2010,8.892188,-0.957941,published inputs
1897,1898,1897–98,8.695342,August–July periods ending 1961–2010,8.892188,-0.196846,published inputs
1898,1899,1898–99,9.418082,August–July periods ending 1961–2010,8.892188,0.525894,published inputs
1899,1900,1899–00,8.564932,August–July periods ending 1961–2010,8.892188,-0.327256,published inputs
1900,1901,1900–01,8.636438,August–July periods ending 1961–2010,8.892188,-0.255750,published inputs
1901,1902,1901–02,8.003014,August–July periods ending 1961–2010,8.892188,-0.889174,published inputs
1902,1903,1902–03,8.380822,August–July periods ending 1961–2010,8.892188,-0.511366,published inputs
1903,1904,1903–04,8.214754,August–July periods ending 1961–2010,8.892188,-0.677434,published inputs
1904,1905,1904–05,8.558082,August–July periods ending 1961–2010,8.892188,-0.334106,published inputs
1905,1906,1905–06,7.890411,August–July periods ending 1961–2010,8.892188,-1.001777,published inputs
1906,1907,1906–07,8.331233,August–July periods ending 1961–2010,8.892188,-0.560955,published inputs
1907,1908,1907–08,8.390984,August–July periods ending 1961–2010,8.892188,-0.501204,published inputs
1908,1909,1908–09,8.382466,August–July periods ending 1961–2010,8.892188,-0.509722,published inputs
1909,1910,1909–10,8.400000,August–July periods ending 1961–2010,8.892188,-0.492188,published inputs
1910,1911,1910–11,8.761644,August–July periods ending 1961–2010,8.892188,-0.130544,published inputs
1911,1912,1911–12,9.252732,August–July periods ending 1961–2010,8.892188,0.360544,published inputs
1912,1913,1912–13,8.375342,August–July periods ending 1961–2010,8.892188,-0.516846,published inputs
1913,1914,1913–14,9.344384,August–July periods ending 1961–2010,8.892188,0.452196,published inputs
1914,1915,1914–15,8.661918,August–July periods ending 1961–2010,8.892188,-0.230270,published inputs
1915,1916,1915–16,8.200273,August–July periods ending 1961–2010,8.892188,-0.691915,published inputs
1916,1917,1916–17,7.886849,August–July periods ending 1961–2010,8.892188,-1.005339,published inputs
1917,1918,1917–18,8.607945,August–July periods ending 1961–2010,8.892188,-0.284243,published inputs
1918,1919,1918–19,8.189863,August–July periods ending 1961–2010,8.892188,-0.702325,published inputs
1919,1920,1919–20,8.521311,August–July periods ending 1961–2010,8.892188,-0.370877,published inputs
1920,1921,1920–21,9.282192,August–July periods ending 1961–2010,8.892188,0.390004,published inputs
1921,1922,1921–22,8.649863,August–July periods ending 1961–2010,8.892188,-0.242325,published inputs
1922,1923,1922–23,8.486849,August–July periods ending 1961–2010,8.892188,-0.405339,published inputs
1923,1924,1923–24,7.990984,August–July periods ending 1961–2010,8.892188,-0.901204,published inputs
1924,1925,1924–25,9.003288,August–July periods ending 1961–2010,8.892188,0.111100,published inputs
1925,1926,1925–26,8.595068,August–July periods ending 1961–2010,8.892188,-0.297120,published inputs
1926,1927,1926–27,8.623562,August–July periods ending 1961–2010,8.892188,-0.268626,published inputs
1927,1928,1927–28,8.568579,August–July periods ending 1961–2010,8.892188,-0.323609,published inputs
1928,1929,1928–29,8.073699,August–July periods ending 1961–2010,8.892188,-0.818489,published inputs
1929,1930,1929–30,8.697534,August–July periods ending 1961–2010,8.892188,-0.194654,published inputs
1930,1931,1930–31,8.426575,August–July periods ending 1961–2010,8.892188,-0.465613,published inputs
1931,1932,1931–32,8.387705,August–July periods ending 1961–2010,8.892188,-0.504483,published inputs
1932,1933,1932–33,9.068767,August–July periods ending 1961–2010,8.892188,0.176579,published inputs
1933,1934,1933–34,8.740548,August–July periods ending 1961–2010,8.892188,-0.151640,published inputs
