year,official_annual_mean_c,reference_period,reference_mean_c,temperature_anomaly_c
1884,8.710000,1961–2010,8.885600,-0.175600
1885,7.570000,1961–2010,8.885600,-1.315600
1886,7.860000,1961–2010,8.885600,-1.025600
1887,7.520000,1961–2010,8.885600,-1.365600
1888,7.520000,1961–2010,8.885600,-1.365600
1889,8.160000,1961–2010,8.885600,-0.725600
1890,8.080000,1961–2010,8.885600,-0.805600
1891,7.910000,1961–2010,8.885600,-0.975600
1892,7.460000,1961–2010,8.885600,-1.425600
1893,9.340000,1961–2010,8.885600,0.454400
1894,8.550000,1961–2010,8.885600,-0.335600
1895,7.740000,1961–2010,8.885600,-1.145600
1896,8.500000,1961–2010,8.885600,-0.385600
1897,8.720000,1961–2010,8.885600,-0.165600
1898,9.160000,1961–2010,8.885600,0.274400
1899,9.050000,1961–2010,8.885600,0.164400
1900,8.530000,1961–2010,8.885600,-0.355600
1901,8.270000,1961–2010,8.885600,-0.615600
1902,8.030000,1961–2010,8.885600,-0.855600
1903,8.330000,1961–2010,8.885600,-0.555600
1904,8.220000,1961–2010,8.885600,-0.665600
1905,8.320000,1961–2010,8.885600,-0.565600
1906,8.500000,1961–2010,8.885600,-0.385600
1907,8.150000,1961–2010,8.885600,-0.735600
1908,8.660000,1961–2010,8.885600,-0.225600
1909,7.920000,1961–2010,8.885600,-0.965600
1910,8.510000,1961–2010,8.885600,-0.375600
1911,9.240000,1961–2010,8.885600,0.354400
1912,8.600000,1961–2010,8.885600,-0.285600
1913,9.070000,1961–2010,8.885600,0.184400
1914,9.090000,1961–2010,8.885600,0.204400
1915,8.280000,1961–2010,8.885600,-0.605600
1916,8.420000,1961–2010,8.885600,-0.465600
1917,7.770000,1961–2010,8.885600,-1.115600
1918,8.820000,1961–2010,8.885600,-0.065600
1919,7.780000,1961–2010,8.885600,-1.105600
1920,8.810000,1961–2010,8.885600,-0.075600
1921,9.700000,1961–2010,8.885600,0.814400
1922,7.960000,1961–2010,8.885600,-0.925600
1923,8.430000,1961–2010,8.885600,-0.455600
1924,8.490000,1961–2010,8.885600,-0.395600
1925,8.450000,1961–2010,8.885600,-0.435600
1926,8.940000,1961–2010,8.885600,0.054400
1927,8.480000,1961–2010,8.885600,-0.405600
1928,8.800000,1961–2010,8.885600,-0.085600
1929,8.270000,1961–2010,8.885600,-0.615600
1930,8.600000,1961–2010,8.885600,-0.285600
1931,8.280000,1961–2010,8.885600,-0.605600
