date,year,month,mean_temperature_c,days,status
1884-01-01,1884,1,5.800000,31,published_monthly_series
1884-02-01,1884,2,4.300000,29,published_monthly_series
1884-03-01,1884,3,5.100000,31,published_monthly_series
1884-04-01,1884,4,6.000000,30,published_monthly_series
1884-05-01,1884,5,9.700000,31,published_monthly_series
1884-06-01,1884,6,12.300000,30,published_monthly_series
1884-07-01,1884,7,14.300000,31,published_monthly_series
1884-08-01,1884,8,15.200000,31,published_monthly_series
1884-09-01,1884,9,13.300000,30,published_monthly_series
1884-10-01,1884,10,8.800000,31,published_monthly_series
1884-11-01,1884,11,5.400000,30,published_monthly_series
1884-12-01,1884,12,4.100000,31,published_monthly_series
1885-01-01,1885,1,2.600000,31,published_monthly_series
1885-02-01,1885,2,4.900000,28,published_monthly_series
1885-03-01,1885,3,3.700000,31,published_monthly_series
1885-04-01,1885,4,6.300000,30,published_monthly_series
1885-05-01,1885,5,7.500000,31,published_monthly_series
1885-06-01,1885,6,12.400000,30,published_monthly_series
1885-07-01,1885,7,14.400000,31,published_monthly_series
1885-08-01,1885,8,12.700000,31,published_monthly_series
1885-09-01,1885,9,11.200000,30,published_monthly_series
1885-10-01,1885,10,6.600000,31,published_monthly_series
1885-11-01,1885,11,5.300000,30,published_monthly_series
1885-12-01,1885,12,3.000000,31,published_monthly_series
1886-01-01,1886,1,1.400000,31,published_monthly_series
1886-02-01,1886,2,1.100000,28,published_monthly_series
1886-03-01,1886,3,2.700000,31,published_monthly_series
1886-04-01,1886,4,6.900000,30,published_monthly_series
1886-05-01,1886,5,9.400000,31,published_monthly_series
1886-06-01,1886,6,12.300000,30,published_monthly_series
1886-07-01,1886,7,14.500000,31,published_monthly_series
1886-08-01,1886,8,14.400000,31,published_monthly_series
1886-09-01,1886,9,12.300000,30,published_monthly_series
1886-10-01,1886,10,10.200000,31,published_monthly_series
1886-11-01,1886,11,6.400000,30,published_monthly_series
1886-12-01,1886,12,2.300000,31,published_monthly_series
1887-01-01,1887,1,2.400000,31,published_monthly_series
1887-02-01,1887,2,3.200000,28,published_monthly_series
1887-03-01,1887,3,2.800000,31,published_monthly_series
1887-04-01,1887,4,5.200000,30,published_monthly_series
1887-05-01,1887,5,8.400000,31,published_monthly_series
1887-06-01,1887,6,14.600000,30,published_monthly_series
1887-07-01,1887,7,15.500000,31,published_monthly_series
1887-08-01,1887,8,14.000000,31,published_monthly_series
1887-09-01,1887,9,10.700000,30,published_monthly_series
1887-10-01,1887,10,6.600000,31,published_monthly_series
1887-11-01,1887,11,3.800000,30,published_monthly_series
1887-12-01,1887,12,2.600000,31,published_monthly_series
1888-01-01,1888,1,2.600000,31,published_monthly_series
1888-02-01,1888,2,1.200000,29,published_monthly_series
