end_year,primary_anomaly_c,primary_mean_temperature_c,bootstrap_median_mean_temperature_c,bootstrap_95_lower_mean_temperature_c,bootstrap_95_upper_mean_temperature_c,full_record_mean_temperature_c,theil_sen_mean_temperature_c,period_kind
1885,-3.317716,6.100640,6.108077,5.202176,7.014142,8.106864,6.182111,historical-fit
1886,-3.290133,6.128224,6.134831,5.237418,7.033841,8.116797,6.209766,historical-fit
1887,-3.262549,6.155807,6.161969,5.272661,7.053320,8.126731,6.237420,historical-fit
1888,-3.234966,6.183390,6.189497,5.307734,7.071834,8.136664,6.265075,historical-fit
1889,-3.207382,6.210974,6.217125,5.342081,7.090333,8.146598,6.292730,historical-fit
1890,-3.179799,6.238557,6.244552,5.376428,7.108825,8.156531,6.320384,historical-fit
1891,-3.152215,6.266141,6.271714,5.411159,7.127316,8.166465,6.348039,historical-fit
1892,-3.124632,6.293724,6.299007,5.446193,7.145808,8.176398,6.375693,historical-fit
1893,-3.097048,6.321308,6.326168,5.481226,7.164299,8.186332,6.403348,historical-fit
1894,-3.069465,6.348891,6.353330,5.516260,7.182791,8.196265,6.431003,historical-fit
1895,-3.041882,6.376475,6.380671,5.551294,7.201282,8.206199,6.458657,historical-fit
1896,-3.014298,6.404058,6.409027,5.586345,7.219774,8.216132,6.486312,historical-fit
1897,-2.986715,6.431641,6.437690,5.621192,7.238265,8.226065,6.513967,historical-fit
1898,-2.959131,6.459225,6.465920,5.655915,7.257959,8.235999,6.541621,historical-fit
1899,-2.931548,6.486808,6.494324,5.690639,7.278076,8.245932,6.569276,historical-fit
1900,-2.903964,6.514392,6.522379,5.725362,7.298194,8.255866,6.596931,historical-fit
1901,-2.876381,6.541975,6.550402,5.760349,7.317994,8.265799,6.624585,historical-fit
1902,-2.848797,6.569559,6.578422,5.795783,7.336830,8.275733,6.652240,historical-fit
1903,-2.821214,6.597142,6.606338,5.831236,7.357152,8.285666,6.679895,historical-fit
1904,-2.793631,6.624726,6.633898,5.866691,7.377537,8.295600,6.707549,historical-fit
1905,-2.766047,6.652309,6.661271,5.901881,7.397923,8.305533,6.735204,historical-fit
1906,-2.738464,6.679892,6.688655,5.936945,7.418308,8.315467,6.762858,historical-fit
1907,-2.710880,6.707476,6.716293,5.972343,7.438694,8.325400,6.790513,historical-fit
1908,-2.683297,6.735059,6.743966,6.007868,7.459079,8.335334,6.818168,historical-fit
1909,-2.655713,6.762643,6.771841,6.043400,7.479465,8.345267,6.845822,historical-fit
1910,-2.628130,6.790226,6.799682,6.078931,7.499686,8.355201,6.873477,historical-fit
1911,-2.600546,6.817810,6.827503,6.114462,7.518975,8.365134,6.901132,historical-fit
1912,-2.572963,6.845393,6.855466,6.149993,7.539991,8.375068,6.928786,historical-fit
1913,-2.545380,6.872977,6.882935,6.185524,7.559601,8.385001,6.956441,historical-fit
1914,-2.517796,6.900560,6.910397,6.221055,7.579507,8.394934,6.984096,historical-fit
1915,-2.490213,6.928143,6.937768,6.256587,7.599836,8.404868,7.011750,historical-fit
1916,-2.462629,6.955727,6.965446,6.292118,7.620165,8.414801,7.039405,historical-fit
1917,-2.435046,6.983310,6.993335,6.327589,7.640493,8.424735,7.067059,historical-fit
1918,-2.407462,7.010894,7.020947,6.363044,7.660822,8.434668,7.094714,historical-fit
1919,-2.379879,7.038477,7.049082,6.398499,7.680502,8.444602,7.122369,historical-fit
