period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,temperature_anomaly_c
1884-08 to 1885-07,1884-08-01,1885-07-31,1885,8.231507,365,published-inputs,117,-1.186849
1885-08 to 1886-07,1885-08-01,1886-07-31,1886,7.290685,365,published-inputs,141,-2.127671
1886-08 to 1887-07,1886-08-01,1887-07-31,1887,8.166027,365,published-inputs,123,-1.252329
1887-08 to 1888-07,1887-08-01,1888-07-31,1888,7.003005,366,published-inputs,142,-2.415351
1888-08 to 1889-07,1888-08-01,1889-07-31,1889,8.213973,365,published-inputs,119,-1.204383
1889-08 to 1890-07,1889-08-01,1890-07-31,1890,8.277260,365,published-inputs,115,-1.141096
1890-08 to 1891-07,1890-08-01,1891-07-31,1891,7.660548,365,published-inputs,139,-1.757808
1891-08 to 1892-07,1891-08-01,1892-07-31,1892,7.791803,366,published-inputs,137,-1.626553
1892-08 to 1893-07,1892-08-01,1893-07-31,1893,8.777534,365,published-inputs,63,-0.640822
1893-08 to 1894-07,1893-08-01,1894-07-31,1894,8.732603,365,published-inputs,70,-0.685753
1894-08 to 1895-07,1894-08-01,1895-07-31,1895,7.680000,365,published-inputs,138,-1.738356
1895-08 to 1896-07,1895-08-01,1896-07-31,1896,9.137978,366,published-inputs,42,-0.280378
1896-08 to 1897-07,1896-08-01,1897-07-31,1897,7.934247,365,published-inputs,133,-1.484109
1897-08 to 1898-07,1897-08-01,1898-07-31,1898,8.695342,365,published-inputs,76,-0.723014
1898-08 to 1899-07,1898-08-01,1899-07-31,1899,9.418082,365,published-inputs,30,-0.000274
1899-08 to 1900-07,1899-08-01,1900-07-31,1900,8.564932,365,published-inputs,88,-0.853424
1900-08 to 1901-07,1900-08-01,1901-07-31,1901,8.636438,365,published-inputs,79,-0.781918
1901-08 to 1902-07,1901-08-01,1902-07-31,1902,8.003014,365,published-inputs,129,-1.415342
1902-08 to 1903-07,1902-08-01,1903-07-31,1903,8.380822,365,published-inputs,110,-1.037534
1903-08 to 1904-07,1903-08-01,1904-07-31,1904,8.214754,366,published-inputs,118,-1.203602
1904-08 to 1905-07,1904-08-01,1905-07-31,1905,8.558082,365,published-inputs,90,-0.860274
1905-08 to 1906-07,1905-08-01,1906-07-31,1906,7.890411,365,published-inputs,134,-1.527945
1906-08 to 1907-07,1906-08-01,1907-07-31,1907,8.331233,365,published-inputs,113,-1.087123
1907-08 to 1908-07,1907-08-01,1908-07-31,1908,8.390984,366,published-inputs,106,-1.027372
1908-08 to 1909-07,1908-08-01,1909-07-31,1909,8.382466,365,published-inputs,109,-1.035890
1909-08 to 1910-07,1909-08-01,1910-07-31,1910,8.400000,365,published-inputs,105,-1.018356
1910-08 to 1911-07,1910-08-01,1911-07-31,1911,8.761644,365,published-inputs,65,-0.656712
1911-08 to 1912-07,1911-08-01,1912-07-31,1912,9.252732,366,published-inputs,39,-0.165624
1912-08 to 1913-07,1912-08-01,1913-07-31,1913,8.375342,365,published-inputs,111,-1.043014
