year,monthly_count,reconstructed_annual_mm,official_annual_mm,difference_mm
1836,12,1437.000000,1436.900000,0.100000
1837,12,1227.100000,1227.000000,0.100000
1838,12,1259.900000,1259.900000,0.000000
1839,12,1542.500000,1542.500000,0.000000
1840,12,1185.400000,1185.600000,-0.200000
1841,12,1638.100000,1638.200000,-0.100000
1842,12,1243.200000,1243.100000,0.100000
1843,12,1259.900000,1259.800000,0.100000
1844,12,959.400000,959.500000,-0.100000
1845,12,1206.400000,1206.500000,-0.100000
1846,12,1254.900000,1255.000000,-0.100000
1847,12,1297.000000,1297.000000,0.000000
1848,12,1526.900000,1526.900000,0.000000
1849,12,1201.400000,1201.500000,-0.100000
1850,12,1084.300000,1084.300000,0.000000
1851,12,1199.100000,1199.100000,0.000000
1852,12,1783.200000,1783.400000,-0.200000
1853,12,1148.000000,1148.100000,-0.100000
1854,12,999.700000,999.500000,0.200000
1855,12,941.900000,941.900000,0.000000
1856,12,1194.400000,1194.300000,0.100000
1857,12,1176.000000,1176.000000,0.000000
1858,12,1090.100000,1090.100000,0.000000
1859,12,1398.600000,1398.600000,0.000000
1860,12,1495.800000,1495.900000,-0.100000
1861,12,1273.900000,1273.900000,-0.000000
1862,12,1354.800000,1354.800000,0.000000
1863,12,1280.100000,1280.000000,0.100000
1864,12,1026.500000,1026.400000,0.100000
1865,12,1223.300000,1223.100000,0.200000
1866,12,1457.700000,1457.800000,-0.100000
1867,12,1267.600000,1267.400000,0.200000
1868,12,1325.600000,1325.500000,0.100000
1869,12,1399.300000,1399.200000,0.100000
1870,12,1166.600000,1166.500000,0.100000
1871,12,1238.000000,1238.000000,0.000000
1872,12,1986.400000,1986.400000,0.000000
1873,12,1189.700000,1189.700000,0.000000
1874,12,1366.700000,1366.800000,-0.100000
1875,12,1446.100000,1446.100000,0.000000
1876,12,1479.600000,1479.500000,0.100000
1877,12,1723.400000,1723.500000,-0.100000
1878,12,1341.100000,1341.000000,0.100000
1879,12,1327.200000,1327.300000,-0.100000
1880,12,1348.200000,1348.100000,0.100000
1881,12,1299.900000,1299.900000,0.000000
1882,12,1699.300000,1699.400000,-0.100000
1883,12,1409.700000,1409.700000,0.000000
1884,12,1300.500000,1300.300000,0.200000
1885,12,1327.000000,1327.100000,-0.100000
1886,12,1543.500000,1543.600000,-0.100000
1887,12,962.100000,962.100000,0.000000
1888,12,1248.500000,1248.400000,0.100000
1889,12,1108.800000,1109.000000,-0.200000
1890,12,1174.800000,1174.800000,0.000000
1891,12,1516.700000,1516.800000,-0.100000
1892,12,1096.300000,1096.100000,0.200000
1893,12,1110.700000,1110.600000,0.100000
1894,12,1410.400000,1410.300000,0.100000
1895,12,1163.700000,1163.700000,0.000000
1896,12,1177.300000,1177.200000,0.100000
1897,12,1375.900000,1375.900000,0.000000
1898,12,1240.900000,1240.800000,0.100000
1899,12,1237.500000,1237.500000,0.000000
1900,12,1391.900000,1391.900000,0.000000
1901,12,1186.700000,1186.600000,0.100000
1902,12,1068.700000,1068.600000,0.100000
1903,12,1757.100000,1757.300000,-0.200000
1904,12,1180.500000,1180.500000,0.000000
1905,12,1112.900000,1112.900000,-0.000000
1906,12,1326.600000,1326.600000,0.000000
1907,12,1292.100000,1292.000000,0.100000
1908,12,1270.100000,1270.000000,0.100000
1909,12,1268.100000,1268.200000,-0.100000
1910,12,1514.400000,1514.500000,-0.100000
1911,12,1286.100000,1286.000000,0.100000
1912,12,1543.400000,1543.500000,-0.100000
1913,12,1411.400000,1411.400000,0.000000
1914,12,1438.400000,1438.300000,0.100000
1915,12,1340.100000,1340.200000,-0.100000
1916,12,1377.100000,1376.900000,0.200000
1917,12,1252.600000,1252.600000,0.000000
1918,12,1487.100000,1486.900000,0.200000
1919,12,1272.300000,1272.200000,0.100000
1920,12,1617.300000,1617.300000,0.000000
1921,12,1066.400000,1066.500000,-0.100000
1922,12,1305.600000,1305.400000,0.200000
