period,start_year,end_year,rain_days_ge_1mm,reference_1991_2020_days,anomaly_days,trailing_10_period_mean_days
1891-08 to 1892-07,1891,1892,184.500000,173.096667,11.403333,
1892-08 to 1893-07,1892,1893,165.300000,173.096667,-7.796667,
1893-08 to 1894-07,1893,1894,191.300000,173.096667,18.203333,
1894-08 to 1895-07,1894,1895,154.100000,173.096667,-18.996667,
1895-08 to 1896-07,1895,1896,162.000000,173.096667,-11.096667,
1896-08 to 1897-07,1896,1897,188.500000,173.096667,15.403333,
1897-08 to 1898-07,1897,1898,160.400000,173.096667,-12.696667,
1898-08 to 1899-07,1898,1899,169.500000,173.096667,-3.596667,
1899-08 to 1900-07,1899,1900,168.200000,173.096667,-4.896667,
1900-08 to 1901-07,1900,1901,173.000000,173.096667,-0.096667,171.680000
1901-08 to 1902-07,1901,1902,178.400000,173.096667,5.303333,171.070000
1902-08 to 1903-07,1902,1903,182.900000,173.096667,9.803333,172.830000
1903-08 to 1904-07,1903,1904,202.200000,173.096667,29.103333,173.920000
1904-08 to 1905-07,1904,1905,159.100000,173.096667,-13.996667,174.420000
1905-08 to 1906-07,1905,1906,173.200000,173.096667,0.103333,175.540000
1906-08 to 1907-07,1906,1907,195.600000,173.096667,22.503333,176.250000
1907-08 to 1908-07,1907,1908,184.300000,173.096667,11.203333,178.640000
1908-08 to 1909-07,1908,1909,169.600000,173.096667,-3.496667,178.650000
1909-08 to 1910-07,1909,1910,193.100000,173.096667,20.003333,181.140000
1910-08 to 1911-07,1910,1911,154.100000,173.096667,-18.996667,179.250000
1911-08 to 1912-07,1911,1912,197.100000,173.096667,24.003333,181.120000
1912-08 to 1913-07,1912,1913,188.700000,173.096667,15.603333,181.700000
1913-08 to 1914-07,1913,1914,182.600000,173.096667,9.503333,179.740000
1914-08 to 1915-07,1914,1915,176.600000,173.096667,3.503333,181.490000
1915-08 to 1916-07,1915,1916,182.100000,173.096667,9.003333,182.380000
1916-08 to 1917-07,1916,1917,165.200000,173.096667,-7.896667,179.340000
1917-08 to 1918-07,1917,1918,180.000000,173.096667,6.903333,178.910000
1918-08 to 1919-07,1918,1919,188.800000,173.096667,15.703333,180.830000
1919-08 to 1920-07,1919,1920,212.500000,173.096667,39.403333,182.770000
1920-08 to 1921-07,1920,1921,143.000000,173.096667,-30.096667,181.660000
1921-08 to 1922-07,1921,1922,181.500000,173.096667,8.403333,180.100000
1922-08 to 1923-07,1922,1923,172.700000,173.096667,-0.396667,178.500000
1923-08 to 1924-07,1923,1924,200.000000,173.096667,26.903333,180.240000
1924-08 to 1925-07,1924,1925,192.100000,173.096667,19.003333,181.790000
1925-08 to 1926-07,1925,1926,186.900000,173.096667,13.803333,182.270000
1926-08 to 1927-07,1926,1927,197.300000,173.096667,24.203333,185.480000
1927-08 to 1928-07,1927,1928,190.600000,173.096667,17.503333,186.540000
1928-08 to 1929-07,1928,1929,151.900000,173.096667,-21.196667,182.850000
1929-08 to 1930-07,1929,1930,194.500000,173.096667,21.403333,181.050000
1930-08 to 1931-07,1930,1931,216.800000,173.096667,43.703333,188.430000
1931-08 to 1932-07,1931,1932,165.700000,173.096667,-7.396667,186.850000
1932-08 to 1933-07,1932,1933,167.200000,173.096667,-5.896667,186.300000
1933-08 to 1934-07,1933,1934,131.400000,173.096667,-41.696667,179.440000
1934-08 to 1935-07,1934,1935,188.800000,173.096667,15.703333,179.110000
1935-08 to 1936-07,1935,1936,206.700000,173.096667,33.603333,181.090000
1936-08 to 1937-07,1936,1937,186.900000,173.096667,13.803333,180.050000
1937-08 to 1938-07,1937,1938,143.400000,173.096667,-29.696667,175.330000
1938-08 to 1939-07,1938,1939,199.200000,173.096667,26.103333,180.060000
1939-08 to 1940-07,1939,1940,156.700000,173.096667,-16.396667,176.280000
1940-08 to 1941-07,1940,1941,155.900000,173.096667,-17.196667,170.190000
1941-08 to 1942-07,1941,1942,149.100000,173.096667,-23.996667,168.530000
1942-08 to 1943-07,1942,1943,171.700000,173.096667,-1.396667,168.980000
1943-08 to 1944-07,1943,1944,169.500000,173.096667,-3.596667,172.790000
1944-08 to 1945-07,1944,1945,185.700000,173.096667,12.603333,172.480000
1945-08 to 1946-07,1945,1946,157.000000,173.096667,-16.096667,167.510000
1946-08 to 1947-07,1946,1947,199.000000,173.096667,25.903333,168.720000
1947-08 to 1948-07,1947,1948,162.300000,173.096667,-10.796667,170.610000
1948-08 to 1949-07,1948,1949,154.400000,173.096667,-18.696667,166.130000
1949-08 to 1950-07,1949,1950,176.200000,173.096667,3.103333,168.080000
1950-08 to 1951-07,1950,1951,208.800000,173.096667,35.703333,173.370000
1951-08 to 1952-07,1951,1952,175.300000,173.096667,2.203333,175.990000
1952-08 to 1953-07,1952,1953,164.200000,173.096667,-8.896667,175.240000
1953-08 to 1954-07,1953,1954,164.200000,173.096667,-8.896667,174.710000
1954-08 to 1955-07,1954,1955,190.100000,173.096667,17.003333,175.150000
1955-08 to 1956-07,1955,1956,144.300000,173.096667,-28.796667,173.880000
1956-08 to 1957-07,1956,1957,173.800000,173.096667,0.703333,171.360000
1957-08 to 1958-07,1957,1958,176.900000,173.096667,3.803333,172.820000
1958-08 to 1959-07,1958,1959,171.200000,173.096667,-1.896667,174.500000
1959-08 to 1960-07,1959,1960,168.500000,173.096667,-4.596667,173.730000
1960-08 to 1961-07,1960,1961,184.900000,173.096667,11.803333,171.340000
