period,start_date,end_date,start_year,end_year,months,rainfall_total_mm,status,reference_1991_2020_mm,anomaly_mm,percentage_of_1991_2020
1836-08 to 1837-07,1836-08-01,1837-07-01,1836,1837,12,1295.600000,published-inputs,1464.760000,-169.160000,88.451350
1837-08 to 1838-07,1837-08-01,1838-07-01,1837,1838,12,1270.100000,published-inputs,1464.760000,-194.660000,86.710451
1838-08 to 1839-07,1838-08-01,1839-07-01,1838,1839,12,1399.800000,published-inputs,1464.760000,-64.960000,95.565144
1839-08 to 1840-07,1839-08-01,1840-07-01,1839,1840,12,1392.600000,published-inputs,1464.760000,-72.160000,95.073596
1840-08 to 1841-07,1840-08-01,1841-07-01,1840,1841,12,1281.800000,published-inputs,1464.760000,-182.960000,87.509217
1841-08 to 1842-07,1841-08-01,1842-07-01,1841,1842,12,1563.400000,published-inputs,1464.760000,98.640000,106.734209
1842-08 to 1843-07,1842-08-01,1843-07-01,1842,1843,12,1283.500000,published-inputs,1464.760000,-181.260000,87.625276
1843-08 to 1844-07,1843-08-01,1844-07-01,1843,1844,12,1070.400000,published-inputs,1464.760000,-394.360000,73.076818
1844-08 to 1845-07,1844-08-01,1845-07-01,1844,1845,12,1045.200000,published-inputs,1464.760000,-419.560000,71.356400
1845-08 to 1846-07,1845-08-01,1846-07-01,1845,1846,12,1349.900000,published-inputs,1464.760000,-114.860000,92.158442
1846-08 to 1847-07,1846-08-01,1847-07-01,1846,1847,12,1128.500000,published-inputs,1464.760000,-336.260000,77.043338
1847-08 to 1848-07,1847-08-01,1848-07-01,1847,1848,12,1513.700000,published-inputs,1464.760000,48.940000,103.341162
1848-08 to 1849-07,1848-08-01,1849-07-01,1848,1849,12,1311.300000,published-inputs,1464.760000,-153.460000,89.523198
1849-08 to 1850-07,1849-08-01,1850-07-01,1849,1850,12,1174.000000,published-inputs,1464.760000,-290.760000,80.149649
1850-08 to 1851-07,1850-08-01,1851-07-01,1850,1851,12,1332.200000,published-inputs,1464.760000,-132.560000,90.950053
1851-08 to 1852-07,1851-08-01,1852-07-01,1851,1852,12,1134.900000,published-inputs,1464.760000,-329.860000,77.480270
1852-08 to 1853-07,1852-08-01,1853-07-01,1852,1853,12,1716.300000,published-inputs,1464.760000,251.540000,117.172779
1853-08 to 1854-07,1853-08-01,1854-07-01,1853,1854,12,1023.700000,published-inputs,1464.760000,-441.060000,69.888582
1854-08 to 1855-07,1854-08-01,1855-07-01,1854,1855,12,964.800000,published-inputs,1464.760000,-499.960000,65.867446
1855-08 to 1856-07,1855-08-01,1856-07-01,1855,1856,12,1038.200000,published-inputs,1464.760000,-426.560000,70.878506
