period,start_date,end_date,start_year,end_year,months,rainfall_total_mm,status,reference_1991_2020_august_june_mm,percentage_of_partial_reference,wetness_rank
1836-08 to 1837-06,1836-08-01,1837-06-01,1836,1837,11,1221.000000,published-inputs,1366.173333,89.373725,111
1837-08 to 1838-06,1837-08-01,1838-06-01,1837,1838,11,1185.900000,published-inputs,1366.173333,86.804505,127
1838-08 to 1839-06,1838-08-01,1839-06-01,1838,1839,11,1183.400000,published-inputs,1366.173333,86.621512,129
1839-08 to 1840-06,1839-08-01,1840-06-01,1839,1840,11,1273.000000,published-inputs,1366.173333,93.179977,91
1840-08 to 1841-06,1840-08-01,1841-06-01,1840,1841,11,1165.600000,published-inputs,1366.173333,85.318603,141
1841-08 to 1842-06,1841-08-01,1842-06-01,1841,1842,11,1462.600000,published-inputs,1366.173333,107.058158,33
1842-08 to 1843-06,1842-08-01,1843-06-01,1842,1843,11,1195.000000,published-inputs,1366.173333,87.470599,124
1843-08 to 1844-06,1843-08-01,1844-06-01,1843,1844,11,988.800000,published-inputs,1366.173333,72.377346,179
1844-08 to 1845-06,1844-08-01,1845-06-01,1844,1845,11,929.400000,published-inputs,1366.173333,68.029435,184
1845-08 to 1846-06,1845-08-01,1846-06-01,1845,1846,11,1227.000000,published-inputs,1366.173333,89.812908,107
1846-08 to 1847-06,1846-08-01,1847-06-01,1846,1847,11,1077.000000,published-inputs,1366.173333,78.833335,158
1847-08 to 1848-06,1847-08-01,1848-06-01,1847,1848,11,1404.500000,published-inputs,1366.173333,102.805403,45
1848-08 to 1849-06,1848-08-01,1849-06-01,1848,1849,11,1211.100000,published-inputs,1366.173333,88.649073,115
1849-08 to 1850-06,1849-08-01,1850-06-01,1849,1850,11,1090.500000,published-inputs,1366.173333,79.821497,154
1850-08 to 1851-06,1850-08-01,1851-06-01,1850,1851,11,1217.500000,published-inputs,1366.173333,89.117535,113
1851-08 to 1852-06,1851-08-01,1852-06-01,1851,1852,11,1045.100000,published-inputs,1366.173333,76.498346,168
1852-08 to 1853-06,1852-08-01,1853-06-01,1852,1853,11,1572.400000,published-inputs,1366.173333,115.095205,10
1853-08 to 1854-06,1853-08-01,1854-06-01,1853,1854,11,898.200000,published-inputs,1366.173333,65.745684,186
1854-08 to 1855-06,1854-08-01,1855-06-01,1854,1855,11,825.200000,published-inputs,1366.173333,60.402292,190
1855-08 to 1856-06,1855-08-01,1856-06-01,1855,1856,11,957.100000,published-inputs,1366.173333,70.056996,181
1856-08 to 1857-06,1856-08-01,1857-06-01,1856,1857,11,1205.400000,published-inputs,1366.173333,88.231850,118
1857-08 to 1858-06,1857-08-01,1858-06-01,1857,1858,11,891.300000,published-inputs,1366.173333,65.240623,187
1858-08 to 1859-06,1858-08-01,1859-06-01,1858,1859,11,1128.600000,published-inputs,1366.173333,82.610308,148
1859-08 to 1860-06,1859-08-01,1860-06-01,1859,1860,11,1474.700000,published-inputs,1366.173333,107.943843,30
1860-08 to 1861-06,1860-08-01,1861-06-01,1860,1861,11,1169.400000,published-inputs,1366.173333,85.596752,139
1861-08 to 1862-06,1861-08-01,1862-06-01,1861,1862,11,1269.300000,published-inputs,1366.173333,92.909148,92
1862-08 to 1863-06,1862-08-01,1863-06-01,1862,1863,11,1083.000000,published-inputs,1366.173333,79.272518,155
1863-08 to 1864-06,1863-08-01,1864-06-01,1863,1864,11,1200.200000,published-inputs,1366.173333,87.851224,121
1864-08 to 1865-06,1864-08-01,1865-06-01,1864,1865,11,1059.600000,published-inputs,1366.173333,77.559704,165
1865-08 to 1866-06,1865-08-01,1866-06-01,1865,1866,11,1284.100000,published-inputs,1366.173333,93.992466,84
1866-08 to 1867-06,1866-08-01,1867-06-01,1866,1867,11,1378.100000,published-inputs,1366.173333,100.872998,55
1867-08 to 1868-06,1867-08-01,1868-06-01,1867,1868,11,1032.500000,published-inputs,1366.173333,75.576062,171
1868-08 to 1869-06,1868-08-01,1869-06-01,1868,1869,11,1404.400000,published-inputs,1366.173333,102.798083,46
1869-08 to 1870-06,1869-08-01,1870-06-01,1869,1870,11,1160.600000,published-inputs,1366.173333,84.952617,143
1870-08 to 1871-06,1870-08-01,1871-06-01,1870,1871,11,1180.000000,published-inputs,1366.173333,86.372642,134
1871-08 to 1872-06,1871-08-01,1872-06-01,1871,1872,11,1410.600000,published-inputs,1366.173333,103.251906,43
1872-08 to 1873-06,1872-08-01,1873-06-01,1872,1873,11,1538.800000,published-inputs,1366.173333,112.635781,18
1873-08 to 1874-06,1873-08-01,1874-06-01,1873,1874,11,1039.200000,published-inputs,1366.173333,76.066483,170
1874-08 to 1875-06,1874-08-01,1875-06-01,1874,1875,11,1354.600000,published-inputs,1366.173333,99.152865,63
1875-08 to 1876-06,1875-08-01,1876-06-01,1875,1876,11,1275.700000,published-inputs,1366.173333,93.377609,87
1876-08 to 1877-06,1876-08-01,1877-06-01,1876,1877,11,1624.800000,published-inputs,1366.173333,118.930736,6
1877-08 to 1878-06,1877-08-01,1878-06-01,1877,1878,11,1393.600000,published-inputs,1366.173333,102.007554,50
1878-08 to 1879-06,1878-08-01,1879-06-01,1878,1879,11,1328.900000,published-inputs,1366.173333,97.271698,71
1879-08 to 1880-06,1879-08-01,1880-06-01,1879,1880,11,1029.100000,published-inputs,1366.173333,75.327191,172
1880-08 to 1881-06,1880-08-01,1881-06-01,1880,1881,11,1228.000000,published-inputs,1366.173333,89.886105,106
1881-08 to 1882-06,1881-08-01,1882-06-01,1881,1882,11,1372.800000,published-inputs,1366.173333,100.485053,59
1882-08 to 1883-06,1882-08-01,1883-06-01,1882,1883,11,1433.200000,published-inputs,1366.173333,104.906161,40
1883-08 to 1884-06,1883-08-01,1884-06-01,1883,1884,11,1332.600000,published-inputs,1366.173333,97.542528,69
1884-08 to 1885-06,1884-08-01,1885-06-01,1884,1885,11,1135.100000,published-inputs,1366.173333,83.086090,145
1885-08 to 1886-06,1885-08-01,1886-06-01,1885,1886,11,1315.300000,published-inputs,1366.173333,96.276217,75
1886-08 to 1887-06,1886-08-01,1887-06-01,1886,1887,11,1126.000000,published-inputs,1366.173333,82.419996,150
1887-08 to 1888-06,1887-08-01,1888-06-01,1887,1888,11,942.800000,published-inputs,1366.173333,69.010277,182
1888-08 to 1889-06,1888-08-01,1889-06-01,1888,1889,11,1108.200000,published-inputs,1366.173333,81.117086,152
1889-08 to 1890-06,1889-08-01,1890-06-01,1889,1890,11,1080.400000,published-inputs,1366.173333,79.082205,157
1890-08 to 1891-06,1890-08-01,1891-06-01,1890,1891,11,1004.100000,published-inputs,1366.173333,73.497262,176
1891-08 to 1892-06,1891-08-01,1892-06-01,1891,1892,11,1379.400000,published-inputs,1366.173333,100.968154,54
1892-08 to 1893-06,1892-08-01,1893-06-01,1892,1893,11,1021.400000,published-inputs,1366.173333,74.763573,173
1893-08 to 1894-06,1893-08-01,1894-06-01,1893,1894,11,1236.400000,published-inputs,1366.173333,90.500961,104
1894-08 to 1895-06,1894-08-01,1895-06-01,1894,1895,11,1064.000000,published-inputs,1366.173333,77.881772,164
1895-08 to 1896-06,1895-08-01,1896-06-01,1895,1896,11,969.300000,published-inputs,1366.173333,70.950001,180
1896-08 to 1897-06,1896-08-01,1897-06-01,1896,1897,11,1318.300000,published-inputs,1366.173333,96.495808,73
