period,start_year,end_year,rainfall_total_mm,reference_1991_2020_mm,percentage_of_1991_2020,anomaly_percent,trailing_10_period_mean_mm,trailing_10_period_anomaly_percent
1836-08 to 1837-07,1836,1837,1295.600000,1464.760000,88.451350,-11.548650,,
1837-08 to 1838-07,1837,1838,1270.100000,1464.760000,86.710451,-13.289549,,
1838-08 to 1839-07,1838,1839,1399.800000,1464.760000,95.565144,-4.434856,,
1839-08 to 1840-07,1839,1840,1392.600000,1464.760000,95.073596,-4.926404,,
1840-08 to 1841-07,1840,1841,1281.800000,1464.760000,87.509217,-12.490783,,
1841-08 to 1842-07,1841,1842,1563.400000,1464.760000,106.734209,6.734209,,
1842-08 to 1843-07,1842,1843,1283.500000,1464.760000,87.625276,-12.374724,,
1843-08 to 1844-07,1843,1844,1070.400000,1464.760000,73.076818,-26.923182,,
1844-08 to 1845-07,1844,1845,1045.200000,1464.760000,71.356400,-28.643600,,
1845-08 to 1846-07,1845,1846,1349.900000,1464.760000,92.158442,-7.841558,1295.230000,-11.573910
1846-08 to 1847-07,1846,1847,1128.500000,1464.760000,77.043338,-22.956662,1278.520000,-12.714711
1847-08 to 1848-07,1847,1848,1513.700000,1464.760000,103.341162,3.341162,1302.880000,-11.051640
1848-08 to 1849-07,1848,1849,1311.300000,1464.760000,89.523198,-10.476802,1294.030000,-11.655834
1849-08 to 1850-07,1849,1850,1174.000000,1464.760000,80.149649,-19.850351,1272.170000,-13.148229
1850-08 to 1851-07,1850,1851,1332.200000,1464.760000,90.950053,-9.049947,1277.210000,-12.804145
1851-08 to 1852-07,1851,1852,1134.900000,1464.760000,77.480270,-22.519730,1234.360000,-15.729539
1852-08 to 1853-07,1852,1853,1716.300000,1464.760000,117.172779,17.172779,1277.640000,-12.774789
1853-08 to 1854-07,1853,1854,1023.700000,1464.760000,69.888582,-30.111418,1272.970000,-13.093613
1854-08 to 1855-07,1854,1855,964.800000,1464.760000,65.867446,-34.132554,1264.930000,-13.642508
1855-08 to 1856-07,1855,1856,1038.200000,1464.760000,70.878506,-29.121494,1233.760000,-15.770502
