end_year,primary_projection_mm,bootstrap_95_lower_mm,bootstrap_95_upper_mm,full_record_sensitivity_mm,theil_sen_sensitivity_mm
2026,1527.321113,1458.290917,1603.508465,1470.045081,1555.566923
2027,1530.527569,1459.656925,1608.612715,1471.120618,1558.802115
2028,1533.734025,1461.339957,1613.803743,1472.196155,1562.037308
2029,1536.940481,1463.017792,1619.540245,1473.271692,1565.272500
2030,1540.146936,1464.217640,1624.810719,1474.347229,1568.507692
2031,1543.353392,1465.562273,1629.775523,1475.422766,1571.742885
2032,1546.559848,1467.010936,1635.243027,1476.498303,1574.978077
2033,1549.766304,1467.776674,1640.132513,1477.573840,1578.213269
2034,1552.972759,1468.516560,1645.435204,1478.649377,1581.448462
2035,1556.179215,1469.366399,1650.687789,1479.724914,1584.683654
2036,1559.385671,1470.188615,1656.121819,1480.800451,1587.918846
2037,1562.592127,1471.021958,1660.963072,1481.875987,1591.154038
2038,1565.798583,1472.145751,1666.745057,1482.951524,1594.389231
2039,1569.005038,1473.264796,1672.121387,1484.027061,1597.624423
2040,1572.211494,1474.370780,1677.201461,1485.102598,1600.859615
2041,1575.417950,1475.476764,1682.128817,1486.178135,1604.094808
2042,1578.624406,1476.582748,1686.768983,1487.253672,1607.330000
2043,1581.830862,1477.688732,1692.457071,1488.329209,1610.565192
2044,1585.037317,1478.813902,1697.579200,1489.404746,1613.800385
2045,1588.243773,1479.656400,1703.127032,1490.480283,1617.035577
2046,1591.450229,1480.302659,1708.674864,1491.555820,1620.270769
2047,1594.656685,1481.895657,1714.222696,1492.631357,1623.505962
2048,1597.863141,1483.269678,1719.752094,1493.706894,1626.741154
2049,1601.069596,1483.949783,1725.275818,1494.782431,1629.976346
2050,1604.276052,1484.652146,1730.809052,1495.857967,1633.211538
2051,1607.482508,1485.354509,1736.358720,1496.933504,1636.446731
2052,1610.688964,1486.778191,1741.883816,1498.009041,1639.681923
2053,1613.895420,1487.541855,1747.115953,1499.084578,1642.917115
2054,1617.101875,1488.317380,1752.684509,1500.160115,1646.152308
2055,1620.308331,1489.568621,1758.252653,1501.235652,1649.387500
2056,1623.514787,1490.255288,1763.804179,1502.311189,1652.622692
2057,1626.721243,1490.885588,1769.126784,1503.386726,1655.857885
2058,1629.927699,1491.515888,1774.449390,1504.462263,1659.093077
2059,1633.134154,1492.146189,1779.771995,1505.537800,1662.328269
2060,1636.340610,1493.163135,1785.094600,1506.613337,1665.563462
2061,1639.547066,1494.313052,1790.417205,1507.688874,1668.798654
2062,1642.753522,1495.061968,1795.739810,1508.764411,1672.033846
2063,1645.959978,1495.727451,1801.062415,1509.839947,1675.269038
2064,1649.166433,1496.699861,1806.384935,1510.915484,1678.504231
2065,1652.372889,1498.336543,1811.703034,1511.991021,1681.739423
2066,1655.579345,1499.974034,1817.020764,1513.066558,1684.974615
2067,1658.785801,1501.267330,1822.345978,1514.142095,1688.209808
2068,1661.992257,1502.421130,1828.050153,1515.217632,1691.445000
2069,1665.198712,1503.047400,1833.753084,1516.293169,1694.680192
2070,1668.405168,1503.901618,1839.452504,1517.368706,1697.915385
2071,1671.611624,1504.520934,1845.151924,1518.444243,1701.150577
2072,1674.818080,1505.140251,1850.757914,1519.519780,1704.385769
2073,1678.024535,1505.759567,1855.955213,1520.595317,1707.620962
2074,1681.230991,1506.378884,1861.146321,1521.670854,1710.856154
2075,1684.437447,1506.998200,1866.332559,1522.746390,1714.091346
2076,1687.643903,1507.617517,1871.518797,1523.821927,1717.326538
2077,1690.850359,1508.260128,1876.705036,1524.897464,1720.561731
2078,1694.056814,1509.268714,1881.891274,1525.973001,1723.796923
2079,1697.263270,1510.292339,1887.077512,1527.048538,1727.032115
2080,1700.469726,1511.332550,1892.484726,1528.124075,1730.267308
2081,1703.676182,1512.328332,1898.211259,1529.199612,1733.502500
2082,1706.882638,1513.338843,1903.937793,1530.275149,1736.737692
2083,1710.089093,1514.197600,1909.468482,1531.350686,1739.972885
2084,1713.295549,1514.755201,1914.739642,1532.426223,1743.208077
2085,1716.502005,1515.327130,1920.010029,1533.501760,1746.443269
2086,1719.708461,1516.283423,1925.280415,1534.577297,1749.678462
2087,1722.914917,1517.239715,1930.550802,1535.652834,1752.913654
2088,1726.121372,1518.156784,1935.821188,1536.728370,1756.148846
2089,1729.327828,1518.838037,1941.091575,1537.803907,1759.384038
2090,1732.534284,1519.519290,1946.361961,1538.879444,1762.619231
2091,1735.740740,1520.378112,1951.632348,1539.954981,1765.854423
2092,1738.947196,1521.417113,1956.902734,1541.030518,1769.089615
2093,1742.153651,1522.456114,1962.173121,1542.106055,1772.324808
2094,1745.360107,1523.495115,1967.646894,1543.181592,1775.560000
2095,1748.566563,1524.534116,1973.031350,1544.257129,1778.795192
2096,1751.773019,1525.573117,1978.300305,1545.332666,1782.030385
2097,1754.979475,1526.612118,1983.359114,1546.408203,1785.265577
2098,1758.185930,1527.651120,1988.525053,1547.483740,1788.500769
2099,1761.392386,1528.690121,1993.795440,1548.559277,1791.735962
2100,1764.598842,1529.729122,1999.065826,1549.634814,1794.971154
