year,july_rainfall_mm,reference_1991_2020_mm,percentage_of_1991_2020,trailing_10_year_mean_mm,dryness_rank
1836,124.200000,98.586667,125.980525,,142
1837,74.600000,98.586667,75.669462,,57
1838,84.200000,98.586667,85.407087,,80
1839,216.400000,98.586667,219.502299,,189
1840,119.600000,98.586667,121.314579,,134
1841,116.200000,98.586667,117.865837,,130
1842,100.800000,98.586667,102.245064,,109
1843,88.500000,98.586667,89.768731,,87
1844,81.600000,98.586667,82.769813,,74
1845,115.800000,98.586667,117.460103,112.190000,128
1846,122.900000,98.586667,124.661888,112.060000,139
1847,51.500000,98.586667,52.238301,109.750000,24
1848,109.200000,98.586667,110.765486,112.250000,120
1849,100.200000,98.586667,101.636462,100.630000,107
1850,83.500000,98.586667,84.697052,97.020000,77
1851,114.700000,98.586667,116.344333,96.870000,126
1852,89.800000,98.586667,91.087368,95.770000,89
1853,143.900000,98.586667,145.962943,101.310000,166
1854,125.500000,98.586667,127.299161,105.700000,144
1855,139.600000,98.586667,141.601298,108.080000,163
1856,81.100000,98.586667,82.262645,103.900000,70
1857,101.600000,98.586667,103.056532,108.910000,110
1858,76.900000,98.586667,78.002434,105.680000,62
1859,95.400000,98.586667,96.767649,105.200000,102
1860,71.200000,98.586667,72.220720,103.970000,54
1861,164.600000,98.586667,166.959697,108.960000,179
1862,127.900000,98.586667,129.733568,112.770000,148
1863,45.000000,98.586667,45.645118,102.880000,17
1864,46.300000,98.586667,46.963754,94.960000,19
1865,90.400000,98.586667,91.695970,90.040000,90
1866,54.000000,98.586667,54.774141,87.330000,32
1867,118.400000,98.586667,120.097376,89.010000,132
1868,35.300000,98.586667,35.806059,84.850000,9
1869,39.900000,98.586667,40.472004,79.300000,14
1870,52.900000,98.586667,53.658372,77.470000,29
1871,163.900000,98.586667,166.249662,77.400000,178
1872,143.000000,98.586667,145.050041,78.910000,165
1873,113.100000,98.586667,114.721396,85.720000,123
1874,72.900000,98.586667,73.945091,88.380000,55
1875,144.000000,98.586667,146.064377,93.740000,168
1876,74.900000,98.586667,75.973763,95.830000,58
1877,149.300000,98.586667,151.440357,98.920000,171
1878,51.900000,98.586667,52.644036,100.580000,27
1879,154.200000,98.586667,156.410603,112.010000,175
1880,198.000000,98.586667,200.838518,126.520000,186
1881,79.900000,98.586667,81.045442,118.120000,67
1882,178.200000,98.586667,180.754666,121.640000,181
1883,106.100000,98.586667,107.621044,120.940000,118
1884,124.000000,98.586667,125.777658,126.050000,141
1885,49.800000,98.586667,50.513930,116.630000,22
1886,128.700000,98.586667,130.545037,122.010000,151
1887,75.500000,98.586667,76.582364,114.630000,60
1888,195.400000,98.586667,198.201244,128.980000,185
1889,96.800000,98.586667,98.187720,123.240000,104
1890,95.100000,98.586667,96.463349,112.950000,100
1891,83.200000,98.586667,84.392751,113.280000,76
1892,81.400000,98.586667,82.566946,103.600000,72
1893,96.600000,98.586667,97.984853,102.650000,103
1894,119.900000,98.586667,121.618880,102.240000,136
1895,146.400000,98.586667,148.498783,111.900000,170
1896,92.900000,98.586667,94.231810,108.320000,96
1897,60.700000,98.586667,61.570192,106.840000,43
1898,34.600000,98.586667,35.096024,90.760000,8
1899,62.300000,98.586667,63.193130,87.310000,44
1900,59.100000,98.586667,59.947255,83.710000,40
1901,68.800000,98.586667,69.786313,82.270000,52
1902,65.000000,98.586667,65.931837,80.630000,48
1903,105.900000,98.586667,107.418177,81.560000,117
1904,81.400000,98.586667,82.566946,77.710000,72
1905,64.200000,98.586667,65.120368,69.490000,47
1906,40.800000,98.586667,41.384907,64.280000,15
1907,92.900000,98.586667,94.231810,67.500000,96
1908,130.900000,98.586667,132.776576,77.130000,152
1909,115.600000,98.586667,117.257236,82.460000,127
1910,119.600000,98.586667,121.314579,88.510000,134
1911,22.600000,98.586667,22.923992,83.890000,2
1912,128.200000,98.586667,130.037869,90.210000,149
1913,35.300000,98.586667,35.806059,83.150000,9
1914,144.400000,98.586667,146.470111,89.450000,169
1915,138.000000,98.586667,139.978361,96.830000,160
1916,59.300000,98.586667,60.150122,98.680000,41
1917,75.200000,98.586667,76.278063,96.910000,59
1918,136.400000,98.586667,138.355423,97.460000,158
1919,49.400000,98.586667,50.108196,90.840000,21
1920,198.400000,98.586667,201.244252,98.720000,187
1921,70.000000,98.586667,71.003516,103.460000,53
1922,152.100000,98.586667,154.280498,105.850000,174
1923,103.800000,98.586667,105.288071,112.700000,113
1924,160.200000,98.586667,162.496619,114.280000,177
1925,86.000000,98.586667,87.232892,109.080000,82
1926,128.600000,98.586667,130.443603,116.010000,150
1927,131.500000,98.586667,133.385177,121.640000,153
1928,83.500000,98.586667,84.697052,116.350000,77
1929,94.800000,98.586667,96.159048,120.890000,99
1930,133.800000,98.586667,135.718150,114.430000,156
1931,125.800000,98.586667,127.603462,120.010000,145
1932,142.900000,98.586667,144.948607,119.090000,164
1933,86.500000,98.586667,87.740060,117.360000,84
1934,38.400000,98.586667,38.950500,105.180000,13
1935,30.800000,98.586667,31.241547,99.660000,5
1936,189.300000,98.586667,192.013795,105.730000,184
1937,83.800000,98.586667,85.001352,100.960000,79
1938,138.600000,98.586667,140.586962,106.470000,161
1939,246.700000,98.586667,250.236678,121.660000,191
1940,125.900000,98.586667,127.704896,120.870000,146
1941,79.500000,98.586667,80.639708,116.240000,66
1942,115.800000,98.586667,117.460103,113.530000,128
1943,91.200000,98.586667,92.507438,114.000000,94
1944,88.500000,98.586667,89.768731,119.010000,87
1945,90.700000,98.586667,92.000270,125.000000,91
1946,80.400000,98.586667,81.552610,114.110000,68
1947,98.200000,98.586667,99.607790,115.550000,106
1948,81.100000,98.586667,82.262645,109.800000,70
1949,51.800000,98.586667,52.542602,90.310000,26
1950,125.900000,98.586667,127.704896,90.310000,146
1951,53.800000,98.586667,54.571274,87.740000,31
1952,56.500000,98.586667,57.309981,81.810000,33
1953,150.300000,98.586667,152.454693,87.720000,172
1954,135.000000,98.586667,136.935353,92.370000,157
1955,28.400000,98.586667,28.807141,86.140000,4
1956,136.600000,98.586667,138.558291,91.760000,159
1957,168.200000,98.586667,170.611306,98.760000,180
1958,139.200000,98.586667,141.195564,104.570000,162
1959,106.200000,98.586667,107.722478,110.010000,119
1960,143.900000,98.586667,145.962943,111.810000,166
1961,85.900000,98.586667,87.131458,115.020000,81
1962,66.100000,98.586667,67.047606,115.980000,49
1963,66.200000,98.586667,67.149040,107.570000,50
1964,100.400000,98.586667,101.839329,104.110000,108
1965,113.900000,98.586667,115.532864,112.660000,124
1966,94.100000,98.586667,95.449013,108.410000,98
1967,117.600000,98.586667,119.285907,103.350000,131
1968,112.400000,98.586667,114.011361,100.670000,122
1969,52.200000,98.586667,52.948336,95.270000,28
1970,101.700000,98.586667,103.157966,91.050000,111
1971,57.800000,98.586667,58.628618,88.240000,37
1972,80.800000,98.586667,81.958345,89.710000,69
1973,104.300000,98.586667,105.795239,93.520000,114
1974,132.400000,98.586667,134.298080,96.720000,154
1975,104.700000,98.586667,106.200974,95.800000,116
1976,41.900000,98.586667,42.500676,90.580000,16
1977,37.100000,98.586667,37.631864,82.530000,11
1978,123.200000,98.586667,124.966189,83.610000,140
1979,37.200000,98.586667,37.733297,82.110000,12
1980,76.700000,98.586667,77.799567,79.610000,61
1981,58.400000,98.586667,59.237219,79.670000,38
1982,45.100000,98.586667,45.746551,76.100000,18
1983,31.100000,98.586667,31.545848,68.780000,6
1984,32.600000,98.586667,33.067352,58.800000,7
1985,104.400000,98.586667,105.896673,58.770000,115
1986,91.100000,98.586667,92.406005,63.690000,93
1987,78.800000,98.586667,79.929673,67.860000,64
1988,180.700000,98.586667,183.290506,73.610000,183
1989,48.200000,98.586667,48.890993,74.710000,20
1990,57.700000,98.586667,58.527184,72.810000,36
1991,102.800000,98.586667,104.273735,77.250000,112
1992,97.600000,98.586667,98.999189,82.500000,105
1993,119.000000,98.586667,120.705978,91.290000,133
1994,68.100000,98.586667,69.076278,94.840000,51
1995,76.900000,98.586667,78.002434,92.090000,62
1996,49.900000,98.586667,50.615364,87.970000,23
1997,57.400000,98.586667,58.222883,85.830000,35
1998,90.900000,98.586667,92.203138,76.850000,92
1999,28.000000,98.586667,28.401407,74.830000,3
2000,87.600000,98.586667,88.855829,77.820000,85
2001,111.100000,98.586667,112.692724,78.650000,121
2002,73.900000,98.586667,74.959427,76.280000,56
2003,125.000000,98.586667,126.791994,76.880000,143
2004,78.800000,98.586667,79.929673,77.950000,64
2005,87.600000,98.586667,88.855829,79.020000,85
2006,51.700000,98.586667,52.441169,79.200000,25
2007,204.300000,98.586667,207.228834,93.890000,188
2008,150.500000,98.586667,152.657560,99.850000,173
2009,226.400000,98.586667,229.645659,119.690000,190
2010,158.600000,98.586667,160.873681,126.790000,176
2011,95.100000,98.586667,96.463349,125.190000,100
2012,132.700000,98.586667,134.602380,131.070000,155
2013,62.600000,98.586667,63.497430,124.830000,45
2014,57.100000,98.586667,57.918583,122.660000,34
2015,113.900000,98.586667,115.532864,125.290000,124
2016,86.300000,98.586667,87.537192,128.750000,83
2017,121.100000,98.586667,122.836083,120.430000,137
2018,62.600000,98.586667,63.497430,111.640000,45
2019,58.800000,98.586667,59.642954,94.880000,39
2020,121.300000,98.586667,123.038951,91.150000,138
2021,82.400000,98.586667,83.581282,89.880000,75
2022,53.200000,98.586667,53.962672,81.930000,30
2023,179.800000,98.586667,182.377603,93.650000,182
2024,92.700000,98.586667,94.028942,97.210000,95
2025,59.900000,98.586667,60.758723,91.810000,42
2026,9.300000,98.586667,9.433324,84.110000,1
