end_year,primary_projection_mm,bootstrap_95_lower_mm,bootstrap_95_upper_mm,full_record_sensitivity_mm,theil_sen_sensitivity_mm
2025,1522.673308,1452.281526,1600.722923,1467.330287,1555.432857
2026,1525.840455,1453.509890,1606.535677,1468.392745,1558.730000
2027,1529.007601,1454.234188,1612.317056,1469.455202,1562.027143
2028,1532.174747,1455.746890,1618.178421,1470.517660,1565.324286
2029,1535.341893,1457.478969,1623.847293,1471.580118,1568.621429
2030,1538.509040,1458.285308,1629.239451,1472.642576,1571.918571
2031,1541.676186,1458.656740,1635.339769,1473.705033,1575.215714
2032,1544.843332,1460.121823,1640.568077,1474.767491,1578.512857
2033,1548.010478,1461.287396,1646.155844,1475.829949,1581.810000
2034,1551.177625,1462.593156,1650.897762,1476.892406,1585.107143
2035,1554.344771,1463.910310,1655.846406,1477.954864,1588.404286
2036,1557.511917,1465.227463,1661.292448,1479.017322,1591.701429
2037,1560.679064,1466.377842,1667.086067,1480.079780,1594.998571
2038,1563.846210,1467.132372,1672.700796,1481.142237,1598.295714
2039,1567.013356,1468.186460,1678.328122,1482.204695,1601.592857
2040,1570.180502,1469.469369,1684.023882,1483.267153,1604.890000
2041,1573.347649,1470.302644,1689.820881,1484.329611,1608.187143
2042,1576.514795,1471.546461,1695.396113,1485.392068,1611.484286
2043,1579.681941,1472.697027,1701.157885,1486.454526,1614.781429
2044,1582.849087,1473.656504,1706.516952,1487.516984,1618.078571
2045,1586.016234,1474.636646,1711.848614,1488.579442,1621.375714
2046,1589.183380,1475.604474,1717.179017,1489.641899,1624.672857
2047,1592.350526,1476.457176,1722.491601,1490.704357,1627.970000
2048,1595.517673,1477.061790,1727.338578,1491.766815,1631.267143
2049,1598.684819,1478.242850,1732.185555,1492.829273,1634.564286
2050,1601.851965,1479.413874,1737.203687,1493.891730,1637.861429
2051,1605.019111,1480.365161,1742.823992,1494.954188,1641.158571
2052,1608.186258,1480.509931,1748.444297,1496.016646,1644.455714
2053,1611.353404,1481.643977,1754.064602,1497.079104,1647.752857
2054,1614.520550,1483.071397,1759.684907,1498.141561,1651.050000
2055,1617.687697,1484.243701,1765.152643,1499.204019,1654.347143
2056,1620.854843,1485.752259,1770.483046,1500.266477,1657.644286
2057,1624.021989,1487.290767,1775.640801,1501.328935,1660.941429
2058,1627.189135,1488.737386,1780.331351,1502.391392,1664.238571
2059,1630.356282,1489.995251,1786.062741,1503.453850,1667.535714
2060,1633.523428,1490.792822,1791.788288,1504.516308,1670.832857
2061,1636.690574,1491.592943,1797.090171,1505.578765,1674.130000
2062,1639.857720,1492.227413,1802.391774,1506.641223,1677.427143
2063,1643.024867,1493.134325,1807.693377,1507.703681,1680.724286
2064,1646.192013,1493.733749,1812.994979,1508.766139,1684.021429
2065,1649.359159,1494.341561,1818.296582,1509.828596,1687.318571
2066,1652.526306,1494.954548,1823.598185,1510.891054,1690.615714
2067,1655.693452,1496.043867,1828.899788,1511.953512,1693.912857
2068,1658.860598,1497.092690,1834.201390,1513.015970,1697.210000
2069,1662.027744,1497.791208,1839.502993,1514.078427,1700.507143
2070,1665.194891,1498.644142,1844.804596,1515.140885,1703.804286
2071,1668.362037,1499.486428,1850.108623,1516.203343,1707.101429
2072,1671.529183,1500.271546,1855.589465,1517.265801,1710.398571
2073,1674.696329,1501.056665,1861.070307,1518.328258,1713.695714
2074,1677.863476,1501.844498,1866.444147,1519.390716,1716.992857
2075,1681.030622,1502.647353,1871.779146,1520.453174,1720.290000
2076,1684.197768,1503.920843,1877.114145,1521.515632,1723.587143
2077,1687.364915,1505.194332,1882.449143,1522.578089,1726.884286
2078,1690.532061,1506.297107,1887.784142,1523.640547,1730.181429
2079,1693.699207,1507.259580,1893.110547,1524.703005,1733.478571
2080,1696.866353,1508.223270,1898.436398,1525.765463,1736.775714
2081,1700.033500,1509.186960,1903.762249,1526.827920,1740.072857
2082,1703.200646,1510.150650,1908.992415,1527.890378,1743.370000
2083,1706.367792,1511.114340,1914.116489,1528.952836,1746.667143
2084,1709.534938,1512.029253,1919.240563,1530.015293,1749.964286
2085,1712.702085,1512.771467,1924.550526,1531.077751,1753.261429
2086,1715.869231,1513.735884,1930.346989,1532.140209,1756.558571
2087,1719.036377,1514.824697,1935.756602,1533.202667,1759.855714
2088,1722.203524,1515.908700,1941.099693,1534.265124,1763.152857
2089,1725.370670,1516.863269,1946.438187,1535.327582,1766.450000
2090,1728.537816,1517.817838,1951.760817,1536.390040,1769.747143
2091,1731.704962,1518.772605,1957.083447,1537.452498,1773.044286
2092,1734.872109,1519.363714,1962.406077,1538.514955,1776.341429
2093,1738.039255,1519.935846,1967.550887,1539.577413,1779.638571
2094,1741.206401,1520.507979,1972.549340,1540.639871,1782.935714
2095,1744.373548,1521.465528,1977.547792,1541.702329,1786.232857
2096,1747.540694,1522.469430,1982.867419,1542.764786,1789.530000
2097,1750.707840,1523.242443,1988.609746,1543.827244,1792.827143
2098,1753.874986,1524.238745,1994.352074,1544.889702,1796.124286
2099,1757.042133,1525.235048,1999.729941,1545.952160,1799.421429
2100,1760.209279,1526.231350,2005.071645,1547.014617,1802.718571
