date,year,month,month_name,rainfall_mm
1836-01-01,1836,1,jan,120.700000
1836-02-01,1836,2,feb,76.500000
1836-03-01,1836,3,mar,180.900000
1836-04-01,1836,4,apr,94.100000
1836-05-01,1836,5,may,6.800000
1836-06-01,1836,6,jun,106.000000
1836-07-01,1836,7,jul,124.200000
1836-08-01,1836,8,aug,69.700000
1836-09-01,1836,9,sep,132.700000
1836-10-01,1836,10,oct,143.400000
1836-11-01,1836,11,nov,225.200000
1836-12-01,1836,12,dec,156.800000
1837-01-01,1837,1,jan,125.200000
1837-02-01,1837,2,feb,143.900000
1837-03-01,1837,3,mar,47.400000
1837-04-01,1837,4,apr,57.000000
1837-05-01,1837,5,may,50.400000
1837-06-01,1837,6,jun,69.300000
1837-07-01,1837,7,jul,74.600000
1837-08-01,1837,8,aug,119.200000
1837-09-01,1837,9,sep,106.300000
1837-10-01,1837,10,oct,156.600000
1837-11-01,1837,11,nov,155.600000
1837-12-01,1837,12,dec,121.600000
1838-01-01,1838,1,jan,36.300000
1838-02-01,1838,2,feb,83.700000
1838-03-01,1838,3,mar,71.800000
1838-04-01,1838,4,apr,87.700000
1838-05-01,1838,5,may,99.600000
1838-06-01,1838,6,jun,147.500000
1838-07-01,1838,7,jul,84.200000
1838-08-01,1838,8,aug,138.200000
1838-09-01,1838,9,sep,42.800000
1838-10-01,1838,10,oct,155.900000
1838-11-01,1838,11,nov,210.600000
1838-12-01,1838,12,dec,101.600000
1839-01-01,1839,1,jan,105.900000
1839-02-01,1839,2,feb,93.800000
1839-03-01,1839,3,mar,93.300000
1839-04-01,1839,4,apr,62.700000
1839-05-01,1839,5,may,34.200000
1839-06-01,1839,6,jun,144.400000
1839-07-01,1839,7,jul,216.400000
1839-08-01,1839,8,aug,127.100000
1839-09-01,1839,9,sep,205.600000
1839-10-01,1839,10,oct,146.900000
1839-11-01,1839,11,nov,194.100000
1839-12-01,1839,12,dec,118.100000
1840-01-01,1840,1,jan,159.300000
1840-02-01,1840,2,feb,102.400000
1840-03-01,1840,3,mar,7.700000
1840-04-01,1840,4,apr,31.000000
1840-05-01,1840,5,may,89.100000
1840-06-01,1840,6,jun,91.700000
1840-07-01,1840,7,jul,119.600000
1840-08-01,1840,8,aug,122.300000
1840-09-01,1840,9,sep,117.100000
1840-10-01,1840,10,oct,81.000000
1840-11-01,1840,11,nov,237.700000
1840-12-01,1840,12,dec,26.500000
1841-01-01,1841,1,jan,116.900000
1841-02-01,1841,2,feb,78.700000
1841-03-01,1841,3,mar,119.600000
1841-04-01,1841,4,apr,79.700000
1841-05-01,1841,5,may,98.700000
1841-06-01,1841,6,jun,87.400000
1841-07-01,1841,7,jul,116.200000
1841-08-01,1841,8,aug,171.200000
1841-09-01,1841,9,sep,189.700000
1841-10-01,1841,10,oct,184.200000
1841-11-01,1841,11,nov,187.700000
1841-12-01,1841,12,dec,208.100000
1842-01-01,1842,1,jan,117.000000
1842-02-01,1842,2,feb,69.300000
1842-03-01,1842,3,mar,148.900000
1842-04-01,1842,4,apr,12.200000
1842-05-01,1842,5,may,86.400000
1842-06-01,1842,6,jun,87.900000
1842-07-01,1842,7,jul,100.800000
1842-08-01,1842,8,aug,50.400000
1842-09-01,1842,9,sep,109.100000
1842-10-01,1842,10,oct,78.000000
1842-11-01,1842,11,nov,269.500000
1842-12-01,1842,12,dec,113.700000
1843-01-01,1843,1,jan,118.600000
1843-02-01,1843,2,feb,62.900000
1843-03-01,1843,3,mar,48.600000
1843-04-01,1843,4,apr,133.700000
1843-05-01,1843,5,may,99.500000
1843-06-01,1843,6,jun,111.000000
1843-07-01,1843,7,jul,88.500000
1843-08-01,1843,8,aug,114.100000
1843-09-01,1843,9,sep,26.600000
1843-10-01,1843,10,oct,254.500000
1843-11-01,1843,11,nov,162.000000
1843-12-01,1843,12,dec,39.900000
1844-01-01,1844,1,jan,88.000000
1844-02-01,1844,2,feb,119.300000
1844-03-01,1844,3,mar,108.800000
1844-04-01,1844,4,apr,35.800000
1844-05-01,1844,5,may,4.100000
1844-06-01,1844,6,jun,35.700000
1844-07-01,1844,7,jul,81.600000
1844-08-01,1844,8,aug,126.300000
1844-09-01,1844,9,sep,86.800000
1844-10-01,1844,10,oct,148.600000
1844-11-01,1844,11,nov,98.900000
1844-12-01,1844,12,dec,25.500000
1845-01-01,1845,1,jan,108.800000
1845-02-01,1845,2,feb,48.100000
1845-03-01,1845,3,mar,62.700000
1845-04-01,1845,4,apr,77.900000
1845-05-01,1845,5,may,48.900000
1845-06-01,1845,6,jun,96.900000
1845-07-01,1845,7,jul,115.800000
1845-08-01,1845,8,aug,169.500000
1845-09-01,1845,9,sep,113.000000
1845-10-01,1845,10,oct,65.600000
1845-11-01,1845,11,nov,125.000000
1845-12-01,1845,12,dec,174.200000
1846-01-01,1846,1,jan,145.300000
1846-02-01,1846,2,feb,59.000000
1846-03-01,1846,3,mar,107.800000
1846-04-01,1846,4,apr,134.200000
1846-05-01,1846,5,may,53.900000
1846-06-01,1846,6,jun,79.500000
1846-07-01,1846,7,jul,122.900000
1846-08-01,1846,8,aug,143.100000
1846-09-01,1846,9,sep,69.900000
1846-10-01,1846,10,oct,186.600000
1846-11-01,1846,11,nov,97.800000
1846-12-01,1846,12,dec,54.900000
1847-01-01,1847,1,jan,112.700000
1847-02-01,1847,2,feb,85.300000
1847-03-01,1847,3,mar,83.000000
1847-04-01,1847,4,apr,65.800000
1847-05-01,1847,5,may,98.000000
1847-06-01,1847,6,jun,79.900000
1847-07-01,1847,7,jul,51.500000
1847-08-01,1847,8,aug,82.500000
1847-09-01,1847,9,sep,115.400000
1847-10-01,1847,10,oct,199.400000
1847-11-01,1847,11,nov,109.100000
1847-12-01,1847,12,dec,214.400000
1848-01-01,1848,1,jan,76.200000
1848-02-01,1848,2,feb,180.600000
1848-03-01,1848,3,mar,126.400000
1848-04-01,1848,4,apr,110.500000
1848-05-01,1848,5,may,51.200000
1848-06-01,1848,6,jun,138.800000
1848-07-01,1848,7,jul,109.200000
1848-08-01,1848,8,aug,183.000000
1848-09-01,1848,9,sep,126.200000
1848-10-01,1848,10,oct,169.900000
1848-11-01,1848,11,nov,96.600000
1848-12-01,1848,12,dec,158.300000
1849-01-01,1849,1,jan,136.000000
1849-02-01,1849,2,feb,66.600000
1849-03-01,1849,3,mar,39.600000
1849-04-01,1849,4,apr,105.100000
1849-05-01,1849,5,may,98.600000
1849-06-01,1849,6,jun,31.200000
1849-07-01,1849,7,jul,100.200000
1849-08-01,1849,8,aug,101.200000
1849-09-01,1849,9,sep,131.200000
1849-10-01,1849,10,oct,156.100000
1849-11-01,1849,11,nov,109.300000
1849-12-01,1849,12,dec,126.300000
1850-01-01,1850,1,jan,77.400000
1850-02-01,1850,2,feb,91.100000
1850-03-01,1850,3,mar,42.800000
1850-04-01,1850,4,apr,134.300000
1850-05-01,1850,5,may,73.100000
1850-06-01,1850,6,jun,47.700000
1850-07-01,1850,7,jul,83.500000
1850-08-01,1850,8,aug,106.200000
1850-09-01,1850,9,sep,87.500000
1850-10-01,1850,10,oct,72.400000
1850-11-01,1850,11,nov,151.100000
1850-12-01,1850,12,dec,117.200000
1851-01-01,1851,1,jan,245.000000
1851-02-01,1851,2,feb,67.300000
1851-03-01,1851,3,mar,151.300000
1851-04-01,1851,4,apr,62.100000
