year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1836,120.700000,76.500000,180.900000,94.100000,6.800000,106.000000,124.200000,69.700000,132.700000,143.400000,225.200000,156.800000,,281.700000,299.800000,501.300000,1436.900000
1837,125.200000,143.900000,47.400000,57.000000,50.400000,69.300000,74.600000,119.200000,106.300000,156.600000,155.600000,121.600000,425.900000,154.800000,263.100000,418.400000,1227.000000
1838,36.300000,83.700000,71.800000,87.700000,99.600000,147.500000,84.200000,138.200000,42.800000,155.900000,210.600000,101.600000,241.600000,259.100000,369.900000,409.300000,1259.900000
1839,105.900000,93.800000,93.300000,62.700000,34.200000,144.400000,216.400000,127.100000,205.600000,146.900000,194.100000,118.100000,301.200000,190.200000,487.900000,546.600000,1542.500000
1840,159.300000,102.400000,7.700000,31.000000,89.100000,91.700000,119.600000,122.300000,117.100000,81.000000,237.700000,26.500000,379.800000,127.800000,333.700000,435.900000,1185.600000
1841,116.900000,78.700000,119.600000,79.700000,98.700000,87.400000,116.200000,171.200000,189.700000,184.200000,187.700000,208.100000,222.100000,298.000000,374.800000,561.600000,1638.200000
1842,117.000000,69.300000,148.900000,12.200000,86.400000,87.900000,100.800000,50.400000,109.100000,78.000000,269.500000,113.700000,394.400000,247.500000,239.100000,456.600000,1243.100000
1843,118.600000,62.900000,48.600000,133.700000,99.500000,111.000000,88.500000,114.100000,26.600000,254.500000,162.000000,39.900000,295.200000,281.700000,313.600000,443.100000,1259.800000
1844,88.000000,119.300000,108.800000,35.800000,4.100000,35.700000,81.600000,126.300000,86.800000,148.600000,98.900000,25.500000,247.300000,148.800000,243.500000,334.300000,959.500000
1845,108.800000,48.100000,62.700000,77.900000,48.900000,96.900000,115.800000,169.500000,113.000000,65.600000,125.000000,174.200000,182.400000,189.500000,382.300000,303.600000,1206.500000
1846,145.300000,59.000000,107.800000,134.200000,53.900000,79.500000,122.900000,143.100000,69.900000,186.600000,97.800000,54.900000,378.500000,296.000000,345.600000,354.300000,1255.000000
1847,112.700000,85.300000,83.000000,65.800000,98.000000,79.900000,51.500000,82.500000,115.400000,199.400000,109.100000,214.400000,252.900000,246.900000,213.900000,423.900000,1297.000000
1848,76.200000,180.600000,126.400000,110.500000,51.200000,138.800000,109.200000,183.000000,126.200000,169.900000,96.600000,158.300000,471.200000,288.100000,431.000000,392.700000,1526.900000
1849,136.000000,66.600000,39.600000,105.100000,98.600000,31.200000,100.200000,101.200000,131.200000,156.100000,109.300000,126.300000,360.900000,243.400000,232.700000,396.700000,1201.500000
1850,77.400000,91.100000,42.800000,134.300000,73.100000,47.700000,83.500000,106.200000,87.500000,72.400000,151.100000,117.200000,294.700000,250.200000,237.400000,311.000000,1084.300000
