Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Wales
Areal series, starting in 1836
Last updated 03-Aug-2026 09:28
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  120.7   76.5  180.9   94.1    6.8  106.0  124.2   69.7  132.7  143.4  225.2  156.8     ---   281.7   299.8   501.3  1436.9
1837  125.2  143.9   47.4   57.0   50.4   69.3   74.6  119.2  106.3  156.6  155.6  121.6   425.9   154.8   263.1   418.4  1227.0
1838   36.3   83.7   71.8   87.7   99.6  147.5   84.2  138.2   42.8  155.9  210.6  101.6   241.6   259.1   369.9   409.3  1259.9
1839  105.9   93.8   93.3   62.7   34.2  144.4  216.4  127.1  205.6  146.9  194.1  118.1   301.2   190.2   487.9   546.6  1542.5
1840  159.3  102.4    7.7   31.0   89.1   91.7  119.6  122.3  117.1   81.0  237.7   26.5   379.8   127.8   333.7   435.9  1185.6
1841  116.9   78.7  119.6   79.7   98.7   87.4  116.2  171.2  189.7  184.2  187.7  208.1   222.1   298.0   374.8   561.6  1638.2
1842  117.0   69.3  148.9   12.2   86.4   87.9  100.8   50.4  109.1   78.0  269.5  113.7   394.4   247.5   239.1   456.6  1243.1
1843  118.6   62.9   48.6  133.7   99.5  111.0   88.5  114.1   26.6  254.5  162.0   39.9   295.2   281.7   313.6   443.1  1259.8
1844   88.0  119.3  108.8   35.8    4.1   35.7   81.6  126.3   86.8  148.6   98.9   25.5   247.3   148.8   243.5   334.3   959.5
1845  108.8   48.1   62.7   77.9   48.9   96.9  115.8  169.5  113.0   65.6  125.0  174.2   182.4   189.5   382.3   303.6  1206.5
1846  145.3   59.0  107.8  134.2   53.9   79.5  122.9  143.1   69.9  186.6   97.8   54.9   378.5   296.0   345.6   354.3  1255.0
1847  112.7   85.3   83.0   65.8   98.0   79.9   51.5   82.5  115.4  199.4  109.1  214.4   252.9   246.9   213.9   423.9  1297.0
1848   76.2  180.6  126.4  110.5   51.2  138.8  109.2  183.0  126.2  169.9   96.6  158.3   471.2   288.1   431.0   392.7  1526.9
1849  136.0   66.6   39.6  105.1   98.6   31.2  100.2  101.2  131.2  156.1  109.3  126.3   360.9   243.4   232.7   396.7  1201.5
1850   77.4   91.1   42.8  134.3   73.1   47.7   83.5  106.2   87.5   72.4  151.1  117.2   294.7   250.2   237.4   311.0  1084.3
1851  245.0   67.3  151.3   62.1   47.6  109.8  114.7   90.7   44.2  129.8   74.9   61.7   429.6   261.0   315.3   248.8  1199.1
1852  220.8  140.1   18.0   34.9   84.6  145.4   89.8  206.3  136.8  144.1  321.1  241.3   422.6   137.5   441.5   602.1  1783.4
1853  159.0   49.1   47.5   93.6   55.4  118.2  143.9  104.8   75.3  151.8  104.7   44.7   449.4   196.5   366.9   331.8  1148.1
1854  129.9   56.0   44.1   19.9   82.9   84.1  125.5   83.7   66.1  101.2   90.2  116.1   230.6   146.9   293.3   257.4   999.5
1855   15.1   47.5   84.2   23.8   70.3  127.0  139.6   84.5   44.5  186.6   38.0   80.8   178.7   178.3   351.1   269.1   941.9
1856  127.8  108.7   39.6  106.7   69.4   70.5   81.1  122.6  136.8  111.0   64.0  156.2   317.4   215.6   274.2   311.7  1194.3
1857  117.8   87.6  123.7  126.6   70.7   88.4  101.6  109.7   95.2  109.7   66.9   78.1   361.6   321.0   299.7   271.8  1176.0
1858   55.9   31.7   59.9  132.2   85.2   66.8   76.9   84.1  133.1  167.4   61.4  135.5   165.7   277.4   227.8   361.9  1090.1
