timestamp,reporting_date,station_code,station_name,site_type,pm25,pm25_screened,pm10,no2,pm25_status,pm10_status
2026-08-11 00:00:00+00:00,2026-08-10 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,10.0,10.0,14.493,,P,P
2026-08-11 01:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,10.0,10.0,23.189,,P,P
2026-08-11 02:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,8.0,8.0,16.425,,P,P
2026-08-11 03:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,9.0,9.0,20.29,,P,P
2026-08-11 04:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,7.0,7.0,12.561,,P,P
2026-08-11 05:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,8.0,8.0,17.392,,P,P
2026-08-11 06:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,9.0,9.0,26.087,,P,P
2026-08-11 07:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,8.0,8.0,26.087,,P,P
2026-08-11 08:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,9.0,9.0,24.155,,P,P
2026-08-11 09:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,9.0,9.0,17.392,,P,P
2026-08-11 10:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,6.0,6.0,23.189,,P,P
2026-08-11 11:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,,,25.121,,,P
2026-08-11 12:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,,,16.425,,,P
2026-08-11 13:00:00+00:00,2026-08-11 00:00:00+00:00,CARD,Cardiff Centre,Urban Background,,,,,,
