station_code,station_name,site_type,latitude,longitude,date,pm25,pm25_hours,pm25_screened,pm25_screened_hours,pm10,pm10_hours,no2,no2_hours,o3,o3_hours
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-03 00:00:00+00:00,4.0,24,4.0,24,10.829541666666666,24,6.550517916666667,24,58.95630541666665,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-03 00:00:00+00:00,5.826086956521739,23,5.826086956521739,23,10.418130434782608,23,10.53045625,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-03 00:00:00+00:00,4.547041666666667,24,4.547041666666667,24,10.726041666666667,24,2.6776666666666666,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-03 00:00:00+00:00,5.191708333333334,24,5.191708333333334,24,9.786458333333334,24,0.5684179166666666,24,60.51198124999999,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-03 00:00:00+00:00,7.583333333333333,24,7.583333333333333,24,22.222583333333333,24,4.402475,24,59.434442083333344,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-03 00:00:00+00:00,6.083333333333333,24,6.083333333333333,24,15.056541666666668,24,3.70430125,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-03 00:00:00+00:00,2.7211250000000002,24,2.7211250000000002,24,5.777083333333334,24,5.471416666666666,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-04 00:00:00+00:00,5.583333333333333,24,5.583333333333333,24,13.365833333333335,24,5.38576625,24,58.55370041666666,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-04 00:00:00+00:00,6.083333333333333,24,6.083333333333333,24,11.634708333333334,24,13.401647500000001,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-04 00:00:00+00:00,4.6295,24,4.6295,24,10.920833333333334,24,2.1176954166666664,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-04 00:00:00+00:00,4.0683750000000005,24,4.0683750000000005,24,8.088541666666666,24,1.350748181818182,22,55.517187500000006,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-04 00:00:00+00:00,7.458333333333333,24,7.458333333333333,24,22.584999999999997,24,2.8156354166666664,24,60.15164749999999,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-04 00:00:00+00:00,7.5,24,7.5,24,14.935916666666666,24,4.4505083333333335,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-04 00:00:00+00:00,1.6981666666666666,24,1.6981666666666666,24,3.678125,24,2.3734325,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-05 00:00:00+00:00,5.458333333333333,24,5.458333333333333,24,13.245,24,8.639360416666667,24,72.22286,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-05 00:00:00+00:00,7.208333333333333,24,7.208333333333333,24,11.634625,24,17.67447043478261,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-05 00:00:00+00:00,4.107708333333333,24,4.107708333333333,24,10.44375,24,3.2383016666666666,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-05 00:00:00+00:00,4.56275,24,4.56275,24,10.208333333333334,24,1.8249421739130434,23,75.48804708333334,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-05 00:00:00+00:00,6.333333333333333,24,6.333333333333333,24,18.921375,24,7.5025579166666665,24,72.01497458333334,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-05 00:00:00+00:00,6.625,24,6.625,24,14.170916666666665,24,8.456942916666668,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-05 00:00:00+00:00,3.2782916666666666,24,3.2782916666666666,24,6.917708333333334,24,6.52893,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-06 00:00:00+00:00,5.083333333333333,24,5.083333333333333,24,12.600916666666668,24,6.0236504166666665,24,71.48694624999999,24
