station_code,station_name,site_type,latitude,longitude,date,pm25,pm25_hours,pm10,pm10_hours,no2,no2_hours,o3,o3_hours
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-11 00:00:00+00:00,13.875,24,,0,17.46822,24,59.53977083333333,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-11 00:00:00+00:00,16.625,24,24.316041666666667,24,23.285609583333336,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-11 00:00:00+00:00,15.374375,24,23.08020833333333,24,15.664072916666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-11 00:00:00+00:00,13.443541666666667,24,22.37708333333333,24,4.8159925,24,72.44044625,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-11 00:00:00+00:00,11.875,24,19.887541666666667,24,10.275279583333333,24,63.61016708333332,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-11 00:00:00+00:00,15.333333333333334,24,21.095375,24,20.662732916666666,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-11 00:00:00+00:00,6.870125000000001,24,11.976041666666667,24,15.432453333333333,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-12 00:00:00+00:00,14.478260869565217,23,,12,10.044704166666667,24,114.55110208333333,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-12 00:00:00+00:00,14.5,24,23.873166666666666,24,30.303254782608697,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-12 00:00:00+00:00,14.171625,24,23.816666666666666,24,11.091279583333334,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-12 00:00:00+00:00,13.757875,24,22.52916666666667,24,4.786962083333333,24,98.13647041666667,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-12 00:00:00+00:00,14.208333333333334,24,24.597916666666666,24,10.315397916666667,24,115.89612125000002,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-12 00:00:00+00:00,,6,,6,,6,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-12 00:00:00+00:00,13.278374999999999,24,22.2,24,21.48465695652174,23,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-13 00:00:00+00:00,12.375,24,21.457624999999997,24,7.922390833333334,24,81.83963916666666,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-13 00:00:00+00:00,13.173913043478262,23,23.608782608695652,23,20.441058181818182,22,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-13 00:00:00+00:00,14.083083333333335,24,22.519791666666666,24,8.063048333333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-13 00:00:00+00:00,10.214125000000001,24,14.932291666666666,24,2.3029325000000003,24,64.08137416666666,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-13 00:00:00+00:00,11.666666666666666,24,22.866666666666664,24,6.309779166666666,24,82.80699875,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-13 00:00:00+00:00,,15,,15,,14,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-13 00:00:00+00:00,13.455,24,27.912833333333335,24,15.0193425,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-14 00:00:00+00:00,4.5,24,9.098458333333333,24,9.587518333333334,24,33.92274374999999,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-08-14 00:00:00+00:00,4.083333333333333,24,9.782666666666666,24,17.377715217391305,23,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-08-14 00:00:00+00:00,3.3835,24,6.530208333333333,24,8.7608175,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-14 00:00:00+00:00,2.7524583333333332,24,5.3812500000000005,24,1.5613829166666668,24,33.2263275,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-14 00:00:00+00:00,4.125,24,10.467041666666667,24,5.5863605,20,38.972280416666656,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-14 00:00:00+00:00,5.708333333333333,24,5.595916666666667,24,7.570971666666666,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-14 00:00:00+00:00,2.2877083333333332,24,5.430208333333333,24,8.579655833333334,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-08-15 00:00:00+00:00,6.375,24,12.922833333333335,24,11.074832608695653,23,47.89818791666667,24
