Data supplied by UK-AIR on 17/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Chepstow A48,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2025,01:00,11.594,R,ugm-3 (Ref.eq),,,,,,,,,,2.000,R,ugm-3 (BAM)
01-01-2025,02:00,8.696,R,ugm-3 (Ref.eq),2.94023,R,ugm-3,5.80472,R,ugm-3,10.31300,R,ugm-3,0.000,R,ugm-3 (BAM)
01-01-2025,03:00,6.763,R,ugm-3 (Ref.eq),0.74541,R,ugm-3,2.05600,R,ugm-3,3.19894,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,04:00,3.865,R,ugm-3 (Ref.eq),0.46588,R,ugm-3,1.91166,R,ugm-3,2.62600,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,05:00,2.899,R,ugm-3 (Ref.eq),0.31059,R,ugm-3,1.43359,R,ugm-3,1.90982,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,06:00,9.662,R,ugm-3 (Ref.eq),0.27953,R,ugm-3,1.24248,R,ugm-3,1.67109,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,07:00,9.662,R,ugm-3 (Ref.eq),0.43482,R,ugm-3,1.52957,R,ugm-3,2.19629,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,08:00,10.628,R,ugm-3 (Ref.eq),1.08706,R,ugm-3,3.06000,R,ugm-3,4.72679,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2025,09:00,8.696,R,ugm-3 (Ref.eq),0.74541,R,ugm-3,2.39021,R,ugm-3,3.53316,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2025,10:00,6.763,R,ugm-3 (Ref.eq),3.78916,R,ugm-3,8.22717,R,ugm-3,14.03714,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,11:00,3.865,R,ugm-3 (Ref.eq),9.44185,R,ugm-3,17.84632,R,ugm-3,32.32362,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2025,12:00,2.899,R,ugm-3 (Ref.eq),11.36749,R,ugm-3,21.76905,R,ugm-3,39.19896,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,13:00,6.763,R,ugm-3 (Ref.eq),15.37406,R,ugm-3,31.90690,R,ugm-3,55.48013,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,14:00,8.696,R,ugm-3 (Ref.eq),15.96418,R,ugm-3,36.34955,R,ugm-3,60.82762,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,15:00,11.594,R,ugm-3 (Ref.eq),20.56087,R,ugm-3,40.85577,R,ugm-3,72.38200,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,16:00,12.561,R,ugm-3 (Ref.eq),20.49875,R,ugm-3,43.09956,R,ugm-3,74.53054,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2025,17:00,10.628,R,ugm-3 (Ref.eq),13.16890,R,ugm-3,31.94593,R,ugm-3,52.13796,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2025,18:00,13.527,R,ugm-3 (Ref.eq),19.41170,R,ugm-3,44.05017,R,ugm-3,73.81436,R,ugm-3,11.000,R,ugm-3 (BAM)
01-01-2025,19:00,22.223,R,ugm-3 (Ref.eq),38.14010,R,ugm-3,51.38145,R,ugm-3,109.86212,R,ugm-3,10.000,R,ugm-3 (BAM)
01-01-2025,20:00,20.290,R,ugm-3 (Ref.eq),18.97687,R,ugm-3,47.43838,R,ugm-3,76.53585,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2025,21:00,20.290,R,ugm-3 (Ref.eq),20.12605,R,ugm-3,44.96016,R,ugm-3,75.81966,R,ugm-3,16.000,R,ugm-3 (BAM)
01-01-2025,22:00,10.628,R,ugm-3 (Ref.eq),16.08841,R,ugm-3,30.42961,R,ugm-3,55.09817,R,ugm-3,9.000,R,ugm-3 (BAM)
01-01-2025,23:00,9.662,R,ugm-3 (Ref.eq),6.11857,R,ugm-3,17.21251,R,ugm-3,26.59418,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2025,24:00,5.797,R,ugm-3 (Ref.eq),8.63432,R,ugm-3,11.97045,R,ugm-3,25.20956,R,ugm-3,4.000,R,ugm-3 (BAM)
02-01-2025,01:00,6.763,R,ugm-3 (Ref.eq),2.36047,R,ugm-3,4.46025,R,ugm-3,8.07959,R,ugm-3,4.000,R,ugm-3 (BAM)
02-01-2025,02:00,3.865,R,ugm-3 (Ref.eq),1.73930,R,ugm-3,6.23975,R,ugm-3,8.90664,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,03:00,4.831,R,ugm-3 (Ref.eq),1.27341,R,ugm-3,6.01572,R,ugm-3,7.96826,R,ugm-3,3.000,R,ugm-3 (BAM)
02-01-2025,04:00,5.797,R,ugm-3 (Ref.eq),0.82824,R,ugm-3,2.92890,R,ugm-3,4.19884,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,05:00,5.797,R,ugm-3 (Ref.eq),2.67106,R,ugm-3,7.68982,R,ugm-3,11.78539,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,06:00,8.696,R,ugm-3 (Ref.eq),3.41647,R,ugm-3,8.74172,R,ugm-3,13.98024,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,07:00,7.730,R,ugm-3 (Ref.eq),6.73977,R,ugm-3,12.71175,R,ugm-3,23.04592,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,08:00,6.763,R,ugm-3 (Ref.eq),6.92612,R,ugm-3,13.61887,R,ugm-3,24.23877,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,09:00,6.763,R,ugm-3 (Ref.eq),4.72094,R,ugm-3,10.36783,R,ugm-3,17.60651,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2025,10:00,10.628,R,ugm-3 (Ref.eq),7.11247,R,ugm-3,14.23970,R,ugm-3,25.14534,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,11:00,12.561,R,ugm-3 (Ref.eq),9.06918,R,ugm-3,17.44230,R,ugm-3,31.34817,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,12:00,10.628,R,ugm-3 (Ref.eq),15.56047,R,ugm-3,26.24076,R,ugm-3,50.09982,R,ugm-3,9.000,R,ugm-3 (BAM)
02-01-2025,13:00,8.696,R,ugm-3 (Ref.eq),22.51765,R,ugm-3,34.65888,R,ugm-3,69.18547,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,14:00,9.662,R,ugm-3 (Ref.eq),22.61083,R,ugm-3,35.66115,R,ugm-3,70.33061,R,ugm-3,2.000,R,ugm-3 (BAM)
02-01-2025,15:00,12.561,R,ugm-3 (Ref.eq),12.60989,R,ugm-3,26.13667,R,ugm-3,45.47155,R,ugm-3,4.000,R,ugm-3 (BAM)
02-01-2025,16:00,14.493,R,ugm-3 (Ref.eq),22.20706,R,ugm-3,33.70369,R,ugm-3,67.75404,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,17:00,12.561,R,ugm-3 (Ref.eq),23.72895,R,ugm-3,40.81756,R,ugm-3,77.20144,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2025,18:00,11.594,R,ugm-3 (Ref.eq),32.61177,R,ugm-3,44.37450,R,ugm-3,94.37852,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,19:00,9.662,R,ugm-3 (Ref.eq),39.53789,R,ugm-3,58.32737,R,ugm-3,118.95129,R,ugm-3,5.000,R,ugm-3 (BAM)
02-01-2025,20:00,13.527,R,ugm-3 (Ref.eq),17.95200,R,ugm-3,35.17033,R,ugm-3,62.69635,R,ugm-3,11.000,R,ugm-3 (BAM)
02-01-2025,21:00,15.459,R,ugm-3 (Ref.eq),17.82777,R,ugm-3,28.77627,R,ugm-3,56.11180,R,ugm-3,7.000,R,ugm-3 (BAM)
02-01-2025,22:00,9.662,R,ugm-3 (Ref.eq),12.54777,R,ugm-3,28.99933,R,ugm-3,48.23897,R,ugm-3,8.000,R,ugm-3 (BAM)
02-01-2025,23:00,6.763,R,ugm-3 (Ref.eq),9.53506,R,ugm-3,18.82737,R,ugm-3,33.44759,R,ugm-3,6.000,R,ugm-3 (BAM)
02-01-2025,24:00,6.763,R,ugm-3 (Ref.eq),5.46635,R,ugm-3,11.34021,R,ugm-3,19.72183,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,01:00,6.763,R,ugm-3 (Ref.eq),2.36048,R,ugm-3,7.76096,R,ugm-3,11.38031,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,02:00,3.865,R,ugm-3 (Ref.eq),2.98166,R,ugm-3,8.65223,R,ugm-3,13.22404,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,03:00,5.797,R,ugm-3 (Ref.eq),2.32942,R,ugm-3,8.68276,R,ugm-3,12.25449,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,04:00,7.730,R,ugm-3 (Ref.eq),9.10027,R,ugm-3,14.75152,R,ugm-3,28.70508,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,05:00,3.865,R,ugm-3 (Ref.eq),8.04427,R,ugm-3,17.89656,R,ugm-3,30.23093,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,06:00,3.865,R,ugm-3 (Ref.eq),11.58499,R,ugm-3,26.91543,R,ugm-3,44.67883,R,ugm-3,3.000,R,ugm-3 (BAM)
03-01-2025,07:00,6.763,R,ugm-3 (Ref.eq),21.18220,R,ugm-3,35.80292,R,ugm-3,68.28184,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,08:00,9.662,R,ugm-3 (Ref.eq),31.05895,R,ugm-3,47.40887,R,ugm-3,95.03192,R,ugm-3,5.000,R,ugm-3 (BAM)
03-01-2025,09:00,6.763,R,ugm-3 (Ref.eq),27.00058,R,ugm-3,37.62607,R,ugm-3,79.02638,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,10:00,7.730,R,ugm-3 (Ref.eq),34.59966,R,ugm-3,42.83813,R,ugm-3,95.89021,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,11:00,8.696,R,ugm-3 (Ref.eq),28.88482,R,ugm-3,43.20859,R,ugm-3,87.49803,R,ugm-3,6.000,R,ugm-3 (BAM)
03-01-2025,12:00,8.696,R,ugm-3 (Ref.eq),39.66227,R,ugm-3,42.84788,R,ugm-3,103.66252,R,ugm-3,5.000,R,ugm-3 (BAM)
03-01-2025,13:00,7.730,R,ugm-3 (Ref.eq),36.15261,R,ugm-3,39.86889,R,ugm-3,95.30212,R,ugm-3,4.000,R,ugm-3 (BAM)
03-01-2025,14:00,12.561,R,ugm-3 (Ref.eq),30.00294,R,ugm-3,41.06502,R,ugm-3,87.06888,R,ugm-3,13.000,R,ugm-3 (BAM)
