Data supplied by UK-AIR on 17/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Newport,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2025,01:00,13.300,R,ugm-3 (FIDAS),0.23622,R,ugm-3,3.06534,R,ugm-3,3.42754,R,ugm-3,7.052,R,ugm-3 (Ref.eq)
01-01-2025,02:00,12.750,R,ugm-3 (FIDAS),0.23622,R,ugm-3,1.49438,R,ugm-3,1.85658,R,ugm-3,4.458,R,ugm-3 (Ref.eq)
01-01-2025,03:00,8.225,R,ugm-3 (FIDAS),0.24803,R,ugm-3,1.27990,R,ugm-3,1.66021,R,ugm-3,3.467,R,ugm-3 (Ref.eq)
01-01-2025,04:00,4.600,R,ugm-3 (FIDAS),0.28346,R,ugm-3,2.18957,R,ugm-3,2.62421,R,ugm-3,1.792,R,ugm-3 (Ref.eq)
01-01-2025,05:00,4.925,R,ugm-3 (FIDAS),0.28346,R,ugm-3,1.06491,R,ugm-3,1.49955,R,ugm-3,2.075,R,ugm-3 (Ref.eq)
01-01-2025,06:00,9.275,R,ugm-3 (FIDAS),0.21260,R,ugm-3,1.54846,R,ugm-3,1.87443,R,ugm-3,3.892,R,ugm-3 (Ref.eq)
01-01-2025,07:00,10.500,R,ugm-3 (FIDAS),0.31890,R,ugm-3,2.18879,R,ugm-3,2.67776,R,ugm-3,4.764,R,ugm-3 (Ref.eq)
01-01-2025,08:00,7.650,R,ugm-3 (FIDAS),0.24803,R,ugm-3,1.97612,R,ugm-3,2.35643,R,ugm-3,3.821,R,ugm-3 (Ref.eq)
01-01-2025,09:00,3.600,R,ugm-3 (FIDAS),0.21260,R,ugm-3,1.33424,R,ugm-3,1.66021,R,ugm-3,1.958,R,ugm-3 (Ref.eq)
01-01-2025,10:00,0.850,R,ugm-3 (FIDAS),0.24803,R,ugm-3,1.54768,R,ugm-3,1.92799,R,ugm-3,0.401,R,ugm-3 (Ref.eq)
01-01-2025,11:00,1.225,R,ugm-3 (FIDAS),0.31890,R,ugm-3,2.45657,R,ugm-3,2.94554,R,ugm-3,0.448,R,ugm-3 (Ref.eq)
01-01-2025,12:00,3.625,R,ugm-3 (FIDAS),0.42520,R,ugm-3,3.73957,R,ugm-3,4.39153,R,ugm-3,2.712,R,ugm-3 (Ref.eq)
