Data supplied by UK-AIR on 12/8/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Narberth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2026,01:00,5.850,R,ugm-3 (FIDAS),,,,,,,,,,66.52333,R,ugm-3,3.703,R,ugm-3 (Ref.eq),0.53293,R,ugm-3
01-01-2026,02:00,5.050,R,ugm-3 (FIDAS),,,,,,,,,,72.77653,R,ugm-3,3.090,R,ugm-3 (Ref.eq),,,
01-01-2026,03:00,5.275,R,ugm-3 (FIDAS),0.30359,R,ugm-3,1.31526,R,ugm-3,1.78075,R,ugm-3,74.09036,R,ugm-3,3.066,R,ugm-3 (Ref.eq),0.53293,R,ugm-3
01-01-2026,04:00,5.325,R,ugm-3 (FIDAS),0.26986,R,ugm-3,1.47173,R,ugm-3,1.88550,R,ugm-3,70.69767,R,ugm-3,3.231,R,ugm-3 (Ref.eq),0.33308,R,ugm-3
01-01-2026,05:00,4.875,R,ugm-3 (FIDAS),0.30359,R,ugm-3,1.21051,R,ugm-3,1.67600,R,ugm-3,69.74972,R,ugm-3,2.877,R,ugm-3 (Ref.eq),0.13323,R,ugm-3
01-01-2026,06:00,4.625,R,ugm-3 (FIDAS),0.43852,R,ugm-3,1.10837,R,ugm-3,1.78075,R,ugm-3,69.64993,R,ugm-3,2.453,R,ugm-3 (Ref.eq),0.73277,R,ugm-3
01-01-2026,07:00,4.650,R,ugm-3 (FIDAS),0.26986,R,ugm-3,1.26223,R,ugm-3,1.67600,R,ugm-3,69.05122,R,ugm-3,2.453,R,ugm-3 (Ref.eq),0.79939,R,ugm-3
01-01-2026,08:00,5.125,R,ugm-3 (FIDAS),0.33732,R,ugm-3,1.21116,R,ugm-3,1.72838,R,ugm-3,68.85165,R,ugm-3,2.783,R,ugm-3 (Ref.eq),0.79939,R,ugm-3
01-01-2026,09:00,5.650,R,ugm-3 (FIDAS),0.33732,R,ugm-3,1.57779,R,ugm-3,2.09500,R,ugm-3,67.70412,R,ugm-3,2.995,R,ugm-3 (Ref.eq),0.73277,R,ugm-3
01-01-2026,10:00,6.475,R,ugm-3 (FIDAS),0.37105,R,ugm-3,2.67832,R,ugm-3,3.24725,R,ugm-3,65.70842,R,ugm-3,3.609,R,ugm-3 (Ref.eq),0.79939,R,ugm-3
01-01-2026,11:00,6.225,R,ugm-3 (FIDAS),0.37105,R,ugm-3,1.68319,R,ugm-3,2.25213,R,ugm-3,65.30928,R,ugm-3,3.255,R,ugm-3 (Ref.eq),0.79939,R,ugm-3
01-01-2026,12:00,6.075,R,ugm-3 (FIDAS),0.26986,R,ugm-3,1.26223,R,ugm-3,1.67600,R,ugm-3,65.80821,R,ugm-3,3.184,R,ugm-3 (Ref.eq),0.86600,R,ugm-3
01-01-2026,13:00,7.175,R,ugm-3 (FIDAS),0.33732,R,ugm-3,1.57779,R,ugm-3,2.09500,R,ugm-3,66.60649,R,ugm-3,3.726,R,ugm-3 (Ref.eq),0.73277,R,ugm-3
01-01-2026,14:00,8.425,R,ugm-3 (FIDAS),0.43852,R,ugm-3,1.47500,R,ugm-3,2.14738,R,ugm-3,68.60219,R,ugm-3,4.104,R,ugm-3 (Ref.eq),0.46631,R,ugm-3
01-01-2026,15:00,8.625,R,ugm-3 (FIDAS),0.50598,R,ugm-3,1.26680,R,ugm-3,2.04263,R,ugm-3,69.15101,R,ugm-3,4.080,R,ugm-3 (Ref.eq),0.46631,R,ugm-3
01-01-2026,16:00,9.825,R,ugm-3 (FIDAS),0.26986,R,ugm-3,1.62885,R,ugm-3,2.04263,R,ugm-3,67.05552,R,ugm-3,4.552,R,ugm-3 (Ref.eq),0.46631,R,ugm-3
01-01-2026,17:00,9.450,R,ugm-3 (FIDAS),0.30359,R,ugm-3,1.57713,R,ugm-3,2.04263,R,ugm-3,69.89939,R,ugm-3,4.693,R,ugm-3 (Ref.eq),0.39969,R,ugm-3
01-01-2026,18:00,9.850,R,ugm-3 (FIDAS),0.23612,R,ugm-3,1.52345,R,ugm-3,1.88550,R,ugm-3,70.09896,R,ugm-3,4.811,R,ugm-3 (Ref.eq),0.06662,R,ugm-3
01-01-2026,19:00,8.425,R,ugm-3 (FIDAS),0.50598,R,ugm-3,1.37155,R,ugm-3,2.14738,R,ugm-3,68.10326,R,ugm-3,4.080,R,ugm-3 (Ref.eq),0.26646,R,ugm-3
01-01-2026,20:00,9.375,R,ugm-3 (FIDAS),0.43852,R,ugm-3,1.37025,R,ugm-3,2.04263,R,ugm-3,70.74757,R,ugm-3,4.481,R,ugm-3 (Ref.eq),0.53293,R,ugm-3
01-01-2026,21:00,10.100,R,ugm-3 (FIDAS),0.47225,R,ugm-3,1.10902,R,ugm-3,1.83313,R,ugm-3,71.14671,R,ugm-3,4.623,R,ugm-3 (Ref.eq),0.53293,R,ugm-3
01-01-2026,22:00,10.325,R,ugm-3 (FIDAS),0.37105,R,ugm-3,1.10706,R,ugm-3,1.67600,R,ugm-3,71.34628,R,ugm-3,4.882,R,ugm-3 (Ref.eq),0.39969,R,ugm-3
01-01-2026,23:00,11.775,R,ugm-3 (FIDAS),0.30359,R,ugm-3,0.94863,R,ugm-3,1.41413,R,ugm-3,71.84520,R,ugm-3,5.307,R,ugm-3 (Ref.eq),0.53293,R,ugm-3
01-01-2026,24:00,11.800,R,ugm-3 (FIDAS),0.37105,R,ugm-3,1.10706,R,ugm-3,1.67600,R,ugm-3,65.60864,R,ugm-3,5.425,R,ugm-3 (Ref.eq),0.39969,R,ugm-3
02-01-2026,01:00,12.075,R,ugm-3 (FIDAS),0.22496,R,ugm-3,1.54113,R,ugm-3,1.88606,R,ugm-3,62.99760,R,ugm-3,5.354,R,ugm-3 (Ref.eq),0.00000,R,ugm-3
02-01-2026,02:00,9.850,R,ugm-3 (FIDAS),0.31494,R,ugm-3,0.91418,R,ugm-3,1.39708,R,ugm-3,65.25939,R,ugm-3,4.859,R,ugm-3 (Ref.eq),0.44370,R,ugm-3
02-01-2026,03:00,8.550,R,ugm-3 (FIDAS),0.43867,R,ugm-3,0.53236,R,ugm-3,1.20498,R,ugm-3,66.75617,R,ugm-3,4.009,R,ugm-3 (Ref.eq),0.53244,R,ugm-3
02-01-2026,04:00,8.625,R,ugm-3 (FIDAS),0.33744,R,ugm-3,0.79237,R,ugm-3,1.30976,R,ugm-3,68.80176,R,ugm-3,4.104,R,ugm-3 (Ref.eq),0.53244,R,ugm-3
02-01-2026,05:00,10.900,R,ugm-3 (FIDAS),0.26995,R,ugm-3,0.89585,R,ugm-3,1.30976,R,ugm-3,71.44606,R,ugm-3,4.906,R,ugm-3 (Ref.eq),0.59899,R,ugm-3
02-01-2026,06:00,9.525,R,ugm-3 (FIDAS),0.26995,R,ugm-3,0.79106,R,ugm-3,1.20498,R,ugm-3,71.44606,R,ugm-3,4.316,R,ugm-3 (Ref.eq),0.59899,R,ugm-3
