Data supplied by UK-AIR on 17/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Swansea Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2025,01:00,28.020,R,ugm-3 (Ref.eq),1.12826,R,ugm-3,2.03553,R,ugm-3,3.76550,R,ugm-3,19.000,R,ugm-3 (BAM)
01-01-2025,02:00,36.716,R,ugm-3 (Ref.eq),0.84620,R,ugm-3,1.38182,R,ugm-3,2.67930,R,ugm-3,12.000,R,ugm-3 (BAM)
01-01-2025,03:00,26.087,R,ugm-3 (Ref.eq),0.56413,R,ugm-3,0.92725,R,ugm-3,1.79223,R,ugm-3,13.000,R,ugm-3 (BAM)
01-01-2025,04:00,28.020,R,ugm-3 (Ref.eq),0.59939,R,ugm-3,0.81888,R,ugm-3,1.73793,R,ugm-3,13.000,R,ugm-3 (BAM)
01-01-2025,05:00,30.918,R,ugm-3 (Ref.eq),0.35258,R,ugm-3,0.76283,R,ugm-3,1.30344,R,ugm-3,8.000,R,ugm-3 (BAM)
01-01-2025,06:00,28.020,R,ugm-3 (Ref.eq),0.38784,R,ugm-3,0.43722,R,ugm-3,1.03189,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2025,07:00,22.223,R,ugm-3 (Ref.eq),0.49361,R,ugm-3,0.54658,R,ugm-3,1.30344,R,ugm-3,8.000,R,ugm-3 (BAM)
01-01-2025,08:00,3.865,R,ugm-3 (Ref.eq),0.38784,R,ugm-3,1.08894,R,ugm-3,1.68361,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2025,09:00,2.899,R,ugm-3 (Ref.eq),0.35258,R,ugm-3,3.31540,R,ugm-3,3.85602,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2025,10:00,2.899,R,ugm-3 (Ref.eq),0.35258,R,ugm-3,3.69557,R,ugm-3,4.23619,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2025,11:00,4.831,R,ugm-3 (Ref.eq),0.45836,R,ugm-3,5.16269,R,ugm-3,5.86549,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,12:00,8.696,R,ugm-3 (Ref.eq),1.93920,R,ugm-3,4.08693,R,ugm-3,7.06032,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2025,13:00,7.730,R,ugm-3 (Ref.eq),1.55136,R,ugm-3,4.68161,R,ugm-3,7.06032,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,14:00,10.628,R,ugm-3 (Ref.eq),1.55136,R,ugm-3,7.77729,R,ugm-3,10.15600,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2025,15:00,24.155,R,ugm-3 (Ref.eq),2.32703,R,ugm-3,13.37669,R,ugm-3,16.94476,R,ugm-3,5.000,R,ugm-3 (BAM)
