Data supplied by UK-AIR on 11/8/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Wrexham,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2026,01:00,7.025,R,ugm-3 (FIDAS),0.81725,R,ugm-3,2.50785,R,ugm-3,3.76095,R,ugm-3,5.330,R,ugm-3 (Ref.eq),0.36605,R,ugm-3
01-01-2026,02:00,5.600,R,ugm-3 (FIDAS),0.86265,R,ugm-3,2.09000,R,ugm-3,3.41271,R,ugm-3,4.127,R,ugm-3 (Ref.eq),0.18303,R,ugm-3
01-01-2026,03:00,3.200,R,ugm-3 (FIDAS),0.68104,R,ugm-3,2.14211,R,ugm-3,3.18636,R,ugm-3,2.429,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
01-01-2026,04:00,2.450,R,ugm-3 (FIDAS),0.74914,R,ugm-3,1.67204,R,ugm-3,2.82071,R,ugm-3,1.792,R,ugm-3 (Ref.eq),0.06864,R,ugm-3
01-01-2026,05:00,3.175,R,ugm-3 (FIDAS),0.57888,R,ugm-3,1.46298,R,ugm-3,2.35059,R,ugm-3,2.052,R,ugm-3 (Ref.eq),0.06864,R,ugm-3
01-01-2026,06:00,4.025,R,ugm-3 (FIDAS),0.51078,R,ugm-3,1.98529,R,ugm-3,2.76847,R,ugm-3,2.547,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
01-01-2026,07:00,4.400,R,ugm-3 (FIDAS),0.61293,R,ugm-3,1.82865,R,ugm-3,2.76847,R,ugm-3,2.901,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
01-01-2026,08:00,4.250,R,ugm-3 (FIDAS),1.15776,R,ugm-3,2.97820,R,ugm-3,4.75342,R,ugm-3,2.642,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
01-01-2026,09:00,5.600,R,ugm-3 (FIDAS),0.85130,R,ugm-3,3.13470,R,ugm-3,4.44000,R,ugm-3,3.137,R,ugm-3 (Ref.eq),0.20590,R,ugm-3
01-01-2026,10:00,8.750,R,ugm-3 (FIDAS),1.02156,R,ugm-3,4.44070,R,ugm-3,6.00706,R,ugm-3,4.575,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
01-01-2026,11:00,10.650,R,ugm-3 (FIDAS),1.19182,R,ugm-3,5.90341,R,ugm-3,7.73083,R,ugm-3,5.142,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
01-01-2026,12:00,7.725,R,ugm-3 (FIDAS),1.36207,R,ugm-3,5.01552,R,ugm-3,7.10401,R,ugm-3,4.269,R,ugm-3 (Ref.eq),0.13727,R,ugm-3
01-01-2026,13:00,8.250,R,ugm-3 (FIDAS),1.53233,R,ugm-3,4.64999,R,ugm-3,6.99954,R,ugm-3,4.222,R,ugm-3 (Ref.eq),0.41181,R,ugm-3
01-01-2026,14:00,7.250,R,ugm-3 (FIDAS),0.95345,R,ugm-3,3.44818,R,ugm-3,4.91012,R,ugm-3,3.774,R,ugm-3 (Ref.eq),0.41181,R,ugm-3
01-01-2026,15:00,6.950,R,ugm-3 (FIDAS),0.71509,R,ugm-3,4.02261,R,ugm-3,5.11906,R,ugm-3,3.609,R,ugm-3 (Ref.eq),0.34317,R,ugm-3
01-01-2026,16:00,6.875,R,ugm-3 (FIDAS),1.12371,R,ugm-3,5.06759,R,ugm-3,6.79059,R,ugm-3,3.679,R,ugm-3 (Ref.eq),0.20590,R,ugm-3
01-01-2026,17:00,9.850,R,ugm-3 (FIDAS),1.02156,R,ugm-3,5.22423,R,ugm-3,6.79059,R,ugm-3,4.764,R,ugm-3 (Ref.eq),0.20590,R,ugm-3
01-01-2026,18:00,6.150,R,ugm-3 (FIDAS),2.38363,R,ugm-3,4.65057,R,ugm-3,8.30542,R,ugm-3,3.514,R,ugm-3 (Ref.eq),0.20590,R,ugm-3
01-01-2026,19:00,8.175,R,ugm-3 (FIDAS),3.30303,R,ugm-3,7.47190,R,ugm-3,12.53648,R,ugm-3,4.387,R,ugm-3 (Ref.eq),0.34317,R,ugm-3
01-01-2026,20:00,10.725,R,ugm-3 (FIDAS),1.80475,R,ugm-3,6.58288,R,ugm-3,9.35013,R,ugm-3,5.283,R,ugm-3 (Ref.eq),0.34317,R,ugm-3
01-01-2026,21:00,9.900,R,ugm-3 (FIDAS),0.51078,R,ugm-3,3.97023,R,ugm-3,4.75342,R,ugm-3,4.929,R,ugm-3 (Ref.eq),0.27454,R,ugm-3
