date_utc,detection_count,satellite_count,source_count,peak_frp_mw
2026-06-15,2,2,2,1.55
2026-06-17,1,1,1,1.11
2026-06-19,4,1,1,10.95
2026-06-20,1,1,1,0.91
2026-06-21,7,3,3,1.88
2026-06-22,14,3,3,2.41
2026-06-23,10,3,3,2.13
2026-06-24,6,3,3,1.81
2026-06-25,12,3,3,7.86
2026-06-26,4,2,2,2.78
2026-06-27,3,2,2,4.82
2026-06-28,1,1,1,2.42
2026-06-29,2,2,2,1.36
2026-06-30,1,1,1,0.67
2026-07-01,4,2,2,1.78
2026-07-03,7,3,3,1.35
2026-07-04,2,2,2,1.37
2026-07-05,9,3,3,5.25
2026-07-06,4,2,2,2.74
2026-07-07,1,1,1,1.62
2026-07-08,9,3,3,2.67
2026-07-09,6,3,3,3.54
2026-07-10,9,3,3,2.29
2026-07-11,10,2,2,13.55
2026-07-12,52,2,2,97.66
2026-07-13,45,2,2,25.57
2026-07-14,76,2,2,19.76
2026-07-15,88,2,2,20.11
2026-07-16,34,2,2,9.67
2026-07-17,65,3,3,19.0
2026-07-18,65,3,3,39.24
2026-07-19,32,3,3,4.64
2026-07-20,104,3,3,63.49
2026-07-21,220,3,3,31.61
2026-07-22,112,3,3,38.74
2026-07-23,89,3,3,18.05
2026-07-24,56,3,3,9.97
2026-07-25,50,3,3,24.49
2026-07-26,20,3,3,45.23
2026-07-27,21,3,3,10.57
2026-07-28,2,2,2,1.19
2026-07-29,5,3,3,1.17
2026-07-30,1,1,1,2.61
2026-07-31,24,3,3,16.95
2026-08-01,15,3,3,4.88
2026-08-02,13,3,3,2.08
2026-08-03,24,2,2,4.38
2026-08-04,10,1,1,5.95
2026-08-05,5,3,3,4.55
2026-08-06,24,3,3,10.36
2026-08-07,25,3,3,3.15
2026-08-08,25,3,3,6.4
2026-08-09,140,3,3,87.12
2026-08-10,162,3,3,19.73
2026-08-11,253,3,3,48.04
2026-08-12,400,3,3,209.75
2026-08-13,791,3,3,297.62
2026-08-14,192,3,3,13.74
2026-08-15,296,3,3,16.92
2026-08-16,11,2,2,2.49
2026-08-20,12,3,3,5.6
2026-08-21,7,2,2,13.9
