latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.68248,-5.034,296.79,0.36,0.58,2026-07-20,141,N,VIIRS,n,2.0NRT,286.32,0.81,N
51.74656,-3.04923,300.79,0.6,0.53,2026-07-20,141,N,VIIRS,n,2.0NRT,281.4,11.06,N
51.75146,-3.04797,340.29,0.6,0.53,2026-07-20,141,N,VIIRS,n,2.0NRT,291,11.06,N
52.83597,-3.98646,330.76,0.33,0.56,2026-07-20,141,N,VIIRS,n,2.0NRT,283.74,1.37,N
52.83615,-3.99118,300.15,0.33,0.56,2026-07-20,141,N,VIIRS,n,2.0NRT,282.88,1.37,N
52.83633,-3.99589,306.05,0.33,0.56,2026-07-20,141,N,VIIRS,n,2.0NRT,282.76,0.97,N
52.85175,-3.98994,340.6,0.33,0.56,2026-07-20,141,N,VIIRS,n,2.0NRT,284.54,2.99,N
51.68497,-5.03263,298.26,0.48,0.48,2026-07-20,321,N,VIIRS,n,2.0NRT,287.67,1.59,N
51.74889,-3.04845,337.11,0.57,0.52,2026-07-20,321,N,VIIRS,n,2.0NRT,283.42,7.4,N
51.75136,-3.03829,303.86,0.57,0.52,2026-07-20,321,N,VIIRS,n,2.0NRT,281.29,2.85,N
51.75186,-3.04057,322.4,0.57,0.52,2026-07-20,321,N,VIIRS,n,2.0NRT,283.05,2.86,N
51.75345,-3.04575,322.95,0.57,0.52,2026-07-20,321,N,VIIRS,n,2.0NRT,284.44,2.85,N
51.75396,-3.04794,313.29,0.57,0.52,2026-07-20,321,N,VIIRS,n,2.0NRT,281.89,3.07,N
52.83518,-3.98698,303.87,0.49,0.48,2026-07-20,321,N,VIIRS,n,2.0NRT,281.64,2.34,N
52.8389,-3.99122,295.16,0.49,0.48,2026-07-20,321,N,VIIRS,n,2.0NRT,281.28,1.39,N
52.8489,-3.99178,302.02,0.49,0.48,2026-07-20,321,N,VIIRS,n,2.0NRT,279.19,0.58,N
52.85117,-3.99135,313.12,0.49,0.48,2026-07-20,321,N,VIIRS,n,2.0NRT,279.95,1.26,N
52.85522,-3.98803,296.75,0.49,0.48,2026-07-20,321,N,VIIRS,n,2.0NRT,279.44,1.26,N
52.85118,-3.98373,355.9,0.66,0.73,2026-07-20,1132,N,VIIRS,n,2.0NRT,292.54,31.8,D
52.85196,-3.98418,355.12,0.66,0.73,2026-07-20,1132,N,VIIRS,n,2.0NRT,294.62,26.94,D
52.85403,-3.97664,355.64,0.66,0.73,2026-07-20,1132,N,VIIRS,n,2.0NRT,286.21,28.88,D
52.85487,-3.97704,342.38,0.66,0.73,2026-07-20,1132,N,VIIRS,n,2.0NRT,285.38,26.94,D
52.85707,-3.98973,330.32,0.66,0.73,2026-07-20,1132,N,VIIRS,n,2.0NRT,287.83,7,D
52.83519,-3.98677,335.89,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,301.06,7.38,D
52.83601,-3.98091,342.76,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,297.87,7.38,D
52.84842,-3.99187,335.92,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,302.84,26.93,D
52.84925,-3.98598,340.22,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,314.29,26.93,D
52.85009,-3.98008,346.74,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,297.76,23.82,D
52.85256,-3.98726,347.38,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,304.74,9.68,D
52.85339,-3.98138,367,0.39,0.36,2026-07-20,1312,N,VIIRS,l,2.0NRT,329.79,63.49,D
52.85587,-3.98851,349.86,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,299.25,9.68,D
52.85669,-3.98269,353.14,0.39,0.36,2026-07-20,1312,N,VIIRS,n,2.0NRT,306.19,63.49,D
52.83587,-3.98441,295.88,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,283.38,2.21,N
52.83588,-3.97763,317.87,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.97,2.18,N
52.84216,-3.99131,299.3,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.99,3.63,N
52.84217,-3.98492,337.47,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,283.32,3.63,N
52.84219,-3.97844,367,0.53,0.67,2026-07-21,122,N,VIIRS,h,2.0NRT,284.61,11.39,N
52.84848,-3.99171,304.39,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,282,3.63,N
52.84848,-3.98503,302.43,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.7,3.63,N
52.85479,-3.98502,299.42,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.89,2.69,N
52.85479,-3.9782,333.1,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.67,3.03,N
52.85689,-3.98994,326.17,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,283.43,4.67,N
52.85693,-3.98207,334.49,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,282.73,4.67,N
52.85696,-3.97526,310.78,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.37,3.43,N
52.86109,-3.99465,301.09,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,283.1,2.69,N
52.8611,-3.98478,310.03,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,282.61,2.69,N
52.8611,-3.97726,315.09,0.53,0.67,2026-07-21,122,N,VIIRS,n,2.0NRT,281.39,3.03,N
51.68441,-5.02924,296.61,0.58,0.7,2026-07-21,124,N,VIIRS,n,2.0NRT,285.99,0.64,N
51.74413,-3.04536,342.77,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,284.62,5.83,N
51.74423,-3.05445,332.15,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,284.2,5.83,N
51.7449,-3.04277,316.38,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,283.38,7.95,N
51.74496,-3.0518,367,0.48,0.65,2026-07-21,124,N,VIIRS,h,2.0NRT,287.7,9.58,N
51.75009,-3.03657,316.85,0.48,0.64,2026-07-21,124,N,VIIRS,n,2.0NRT,283.91,4.74,N
51.75018,-3.04428,367,0.48,0.65,2026-07-21,124,N,VIIRS,h,2.0NRT,292.99,7.79,N
51.75027,-3.05304,325.23,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,285.27,7.79,N
51.75095,-3.04204,348.77,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,290.43,7.95,N
51.75101,-3.05047,348.02,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,290.24,9.58,N
51.75107,-3.05873,306.74,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,283.34,9.58,N
51.75623,-3.04419,307.74,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,284.31,7.79,N
51.75632,-3.0519,367,0.48,0.65,2026-07-21,124,N,VIIRS,h,2.0NRT,290.41,7.79,N
51.75706,-3.04954,343.7,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,287.54,6.52,N
51.75713,-3.05789,336.26,0.48,0.65,2026-07-21,124,N,VIIRS,n,2.0NRT,283.88,6.52,N
51.39662,-3.39293,299.1,0.56,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,284.11,0.75,N
51.68365,-5.02783,301.79,0.49,0.4,2026-07-21,304,N,VIIRS,n,2.0NRT,289.59,1.37,N
51.74247,-3.04334,300.6,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,283.36,2.16,N
51.74419,-3.05071,317.56,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,285.1,2.16,N
51.7463,-3.04133,328.88,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,289,13.06,N
51.74802,-3.04874,334.27,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,292.65,13.06,N
51.74805,-3.04227,353.24,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,295.96,13.09,N
51.74979,-3.04967,329.21,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,288.58,8.52,N
51.7501,-3.03917,352.85,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,297.39,13.06,N
51.75184,-3.04007,346.91,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,295.97,13.09,N
51.75187,-3.04678,339.64,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,293.61,13.06,N
51.75359,-3.05422,318.89,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,285.18,4.27,N
51.75364,-3.04769,351.12,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,298.65,8.52,N
51.75385,-3.03676,298.89,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,284.25,3.22,N
51.75539,-3.05515,327.69,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,285.02,8.52,N
51.75565,-3.04457,329.72,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,291.26,3.22,N
51.7574,-3.04541,304.27,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,283.9,1.32,N
51.75742,-3.05221,330.53,0.57,0.43,2026-07-21,304,N,VIIRS,n,2.0NRT,286.04,5.31,N
52.83814,-3.99017,305.3,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,285.16,1.93,N
52.84001,-3.98025,349.96,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,284.06,7.44,N
52.84352,-3.97789,341.75,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,284.58,7.44,N
52.84519,-3.98553,323.21,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,282.58,7.44,N
52.84686,-3.99315,329.72,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,283.52,4.39,N
52.85743,-3.98617,339.96,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,285.13,4.18,N
52.8594,-3.97668,333.42,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,283.1,3.61,N
52.86101,-3.98409,302.33,0.5,0.41,2026-07-21,304,N,VIIRS,n,2.0NRT,282.98,4.18,N
51.63661,-3.93293,337.76,0.42,0.38,2026-07-21,1253,N,VIIRS,n,2.0NRT,300.06,2.25,D
51.74335,-3.04258,339.13,0.4,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,301.12,9.87,D
51.74438,-3.03677,345.37,0.4,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,298.42,9.87,D
51.74665,-3.04409,351.26,0.4,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,307.17,9.87,D
51.74768,-3.03831,355.92,0.4,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,308.42,9.87,D
51.74996,-3.04561,335.48,0.4,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,291.08,7.23,D
51.79338,-2.96205,350.62,0.4,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,305.53,4.81,D
52.36818,-2.67289,350.02,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,302.17,4.68,D
52.37145,-2.67441,348.64,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,299.04,4.68,D
52.37243,-2.66872,341.76,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,301.87,4.68,D
52.72595,-2.56214,347.73,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,300.06,2.67,D
52.73474,-2.70315,335.41,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,300.57,4.22,D
52.73703,-2.71035,340.95,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,303.39,7.33,D
52.738,-2.70467,340.71,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,299.87,4.22,D
52.83961,-3.9861,337.69,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,300.58,20.41,D
52.8417,-3.97467,344.27,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,297.29,7.11,D
52.84188,-3.99343,339.81,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,299.34,20.41,D
52.84293,-3.9877,351.48,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,307.54,20.41,D
52.84397,-3.98201,341.71,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,296.26,7.11,D
52.8452,-3.99504,345.46,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,297.72,9.61,D
52.84624,-3.9893,367,0.41,0.37,2026-07-21,1253,N,VIIRS,h,2.0NRT,298.57,9.61,D
52.8583,-3.98262,346.19,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,297.72,7.69,D
52.85936,-3.97682,355.49,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,299.98,11.67,D
52.8604,-3.97106,345.64,0.41,0.37,2026-07-21,1253,N,VIIRS,n,2.0NRT,294.05,11.67,D
53.15482,-2.70153,347.64,0.39,0.36,2026-07-21,1253,N,VIIRS,n,2.0NRT,298.96,4.83,D
