external_incident_id,incident_name,latitude,longitude,incident_start_utc,incident_end_utc,source_class,source_name,source_url,source_published_utc,location_precision,source_statement
EXT-2026-BLAENAVON-WG,Blaenavon wildfire,51.7720,-3.0860,2026-07-19T19:42:00Z,2026-07-27T10:00:00Z,welsh_government,Welsh Government,https://media.service.gov.wales/news/update-from-the-cabinet-minister-for-local-government-housing-and-planning-sian-gwenllian-on-wildfires-across-wales,2026-07-23T17:40:00Z,locality,"Welsh Government identified Blaenavon as one of the two most significant active wildfire incidents in Wales."
EXT-2026-BLAENAVON-NEWS,Blaenavon wildfire,51.7720,-3.0860,2026-07-19T19:42:00Z,2026-07-27T10:00:00Z,reputable_news,Abergavenny Chronicle,https://www.abergavennychronicle.com/news/wildfire-has-been-raging-for-over-a-week-what-firefighters-have-been-doing-over-the-weekend-931060,2026-07-27T05:53:00Z,locality,"Report based on South Wales Fire and Rescue Service updates said the mountain fire above Blaenavon had continued for more than seven days."
EXT-2026-RHINOGYDD-WG,Rhinogydd wildfire near Cwm Bychan and Harlech,52.8440,-4.0500,2026-07-14T12:00:00Z,2026-07-27T09:00:00Z,welsh_government,Welsh Government,https://media.service.gov.wales/news/update-from-the-cabinet-minister-for-local-government-housing-and-planning-sian-gwenllian-on-wildfires-across-wales,2026-07-23T17:40:00Z,area,"Welsh Government identified the Rhinogydd fire near Harlech as one of the two most significant active wildfire incidents in Wales."
EXT-2026-RHINOGYDD-NWFRS,Rhinogydd wildfire near Cwm Bychan and Harlech,52.8440,-4.0500,2026-07-14T12:00:00Z,2026-07-27T09:00:00Z,fire_service,North Wales Fire and Rescue Service,https://www.northwalesfire.gov.wales/news/2026/07/incident-updates/,2026-07-27T09:00:00Z,area,"North Wales Fire and Rescue Service continued to monitor the Rhinogydd mountain range near Cwm Bychan after a major multi-agency wildfire response."
EXT-2026-CAPELULO-NWFRS,Conwy Mountain wildfire near Capelulo and Sychnant Pass,53.2780,-3.9170,2026-07-12T10:00:00Z,2026-07-27T09:00:00Z,fire_service,North Wales Fire and Rescue Service,https://www.northwalesfire.gov.wales/news/2026/07/incident-updates/,2026-07-27T09:00:00Z,area,"North Wales Fire and Rescue Service monitored the mountain above Capelulo near Sychnant Pass following wildfire activity."
EXT-2026-BANGOR-NWFRS,Bangor Mountain wildfire,53.2200,-4.1280,2026-07-23T18:00:00Z,2026-07-27T09:00:00Z,fire_service,North Wales Fire and Rescue Service,https://www.northwalesfire.gov.wales/news/2026/07/incident-updates/,2026-07-27T09:00:00Z,locality,"North Wales Fire and Rescue Service reported a wildfire on Bangor Mountain and later continued monitoring the location."
EXT-2026-HOPE-NWFRS,Hope Mountain wildfire,53.1040,-3.0550,2026-07-20T12:00:00Z,2026-07-27T09:00:00Z,fire_service,North Wales Fire and Rescue Service,https://www.northwalesfire.gov.wales/news/2026/07/incident-updates/,2026-07-27T09:00:00Z,locality,"North Wales Fire and Rescue Service reported wildfire activity on Hope Mountain and later said the fire was under control."
EXT-2026-PENTRE-HALKYN-NWFRS,Pentre Halkyn wildfire,53.2250,-3.1880,2026-07-21T08:00:00Z,2026-07-27T09:00:00Z,fire_service,North Wales Fire and Rescue Service,https://www.northwalesfire.gov.wales/news/2026/07/incident-updates/,2026-07-27T09:00:00Z,locality,"North Wales Fire and Rescue Service monitored Pentre Halkyn during the July wildfire response and later reported it under control."
EXT-2026-PENTREFELIN-NWFRS,Pentrefelin Holyhead wildfire,53.2980,-4.6200,2026-07-17T08:00:00Z,2026-07-27T09:00:00Z,fire_service,North Wales Fire and Rescue Service,https://www.northwalesfire.gov.wales/news/2026/07/incident-updates/,2026-07-27T09:00:00Z,locality,"North Wales Fire and Rescue Service actively fought and later monitored a wildfire at Pentrefelin near Holyhead."
EXT-2026-LANGROVE-HC-MAWWFRS,"Langrove Health Club structure fire, Parkmill",51.58871,-4.07518,2026-08-14T19:27:00Z,2026-08-15T06:18:00Z,fire_service,Mid and West Wales Fire and Rescue Service,https://www.walesonline.co.uk/news/wales-news/fire-tears-through-health-club-34464482,2026-08-15T12:02:00Z,site,"MAWWFRS statement via Wales Online: call at 20:27 BST 14 Aug to fire in the sauna room at Langrove Health Club, Parkmill, which spread through the complex; ten crews; residents evacuated; crews left 07:18 BST 15 Aug. Structure fire, not a wildfire."
EXT-2026-LANGROVE-HC-NEWS,"Langrove Health Club structure fire, Parkmill",51.58871,-4.07518,2026-08-14T19:27:00Z,2026-08-15T06:18:00Z,reputable_news,Wales Online,https://www.walesonline.co.uk/news/wales-news/fire-tears-through-health-club-34464482,2026-08-15T12:02:00Z,site,"Wales Online reported a major fire at Langrove Health Club, Parkmill, Gower, quoting MAWWFRS that the blaze began in the sauna and spread through the complex overnight."
