name,latitude,longitude,reference_note
Aberystwyth,52.4153,-4.0829,Curated settlement reference centroid
Abergavenny,51.8236,-3.0190,Curated settlement reference centroid
Aberdare,51.7153,-3.4431,Curated settlement reference centroid
Ammanford,51.7928,-3.9930,Curated settlement reference centroid
Bangor,53.2274,-4.1293,Curated settlement reference centroid
Blaenavon,51.7720,-3.0860,Curated settlement reference centroid
Blackwood,51.6684,-3.1957,Curated settlement reference centroid
Brecon,51.9470,-3.3880,Curated settlement reference centroid
Bridgend,51.5072,-3.5775,Curated settlement reference centroid
Brynmawr,51.7951,-3.1745,Curated settlement reference centroid
Builth Wells,52.1490,-3.4040,Curated settlement reference centroid
Caerphilly,51.5788,-3.2181,Curated settlement reference centroid
Cardiff,51.4816,-3.1791,Curated settlement reference centroid
Carmarthen,51.8572,-4.3116,Curated settlement reference centroid
Chepstow,51.6400,-2.6760,Curated settlement reference centroid
Crickhowell,51.8566,-3.1395,Curated settlement reference centroid
Dolgellau,52.7444,-3.8865,Curated settlement reference centroid
Ebbw Vale,51.7783,-3.2061,Curated settlement reference centroid
Ferndale,51.6594,-3.4480,Curated settlement reference centroid
Llandeilo,51.8858,-3.9914,Curated settlement reference centroid
Llandovery,51.9958,-3.7969,Curated settlement reference centroid
Llanelli,51.6819,-4.1619,Curated settlement reference centroid
Llanidloes,52.4480,-3.5400,Curated settlement reference centroid
Machynlleth,52.5907,-3.8522,Curated settlement reference centroid
Merthyr Tydfil,51.7487,-3.3816,Curated settlement reference centroid
Monmouth,51.8127,-2.7144,Curated settlement reference centroid
Neath,51.6646,-3.8043,Curated settlement reference centroid
Newport,51.5842,-2.9977,Curated settlement reference centroid
Pontypool,51.7004,-3.0445,Curated settlement reference centroid
Pontypridd,51.6016,-3.3421,Curated settlement reference centroid
Porth,51.6122,-3.4116,Curated settlement reference centroid
Port Talbot,51.5917,-3.7827,Curated settlement reference centroid
Rhayader,52.3015,-3.5100,Curated settlement reference centroid
Swansea,51.6214,-3.9436,Curated settlement reference centroid
Treorchy,51.6568,-3.5059,Curated settlement reference centroid
Wrexham,53.0465,-2.9938,Curated settlement reference centroid
Ystradgynlais,51.7797,-3.7584,Curated settlement reference centroid
