latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.82568,-3.2071,336.43,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,286.48,4.87,N
51.82588,-3.19714,306.49,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,285.74,4.87,N
51.82609,-3.18689,297.19,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,284.07,1.14,N
51.83238,-3.2173,354.37,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,285.2,45.99,N
51.83259,-3.20698,354.26,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,301.91,68.75,N
51.83279,-3.19696,321.01,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,285.79,68.75,N
51.83298,-3.18756,298.65,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,284.46,16.61,N
51.83908,-3.22778,295.76,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,279.67,45.99,N
51.83927,-3.2183,367,0.67,0.73,2026-08-12,109,N,VIIRS,h,2.0NRT,289.15,45.99,N
51.83947,-3.20859,345.56,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,313.2,68.75,N
51.83966,-3.19869,348.17,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,305.24,68.75,N
51.83984,-3.1896,350,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,289.84,16.61,N
51.84631,-3.2116,302.29,0.67,0.73,2026-08-12,109,N,VIIRS,n,2.0NRT,286.58,2.94,N
52.46391,1.04657,318.25,0.44,0.63,2026-08-12,109,N,VIIRS,n,2.0NRT,277.71,1.96,N
52.48143,-0.23402,301.36,0.5,0.66,2026-08-12,109,N,VIIRS,n,2.0NRT,280.59,1.25,N
52.52833,0.03176,296.97,0.49,0.65,2026-08-12,109,N,VIIRS,n,2.0NRT,271.55,0.68,N
52.529,0.03186,297.66,0.49,0.65,2026-08-12,109,N,VIIRS,n,2.0NRT,272.48,0.69,N
51.67542,-3.45713,300.69,0.68,0.74,2026-08-12,111,N,VIIRS,n,2.0NRT,284.73,0.93,N
51.67767,-3.45989,297.07,0.68,0.74,2026-08-12,111,N,VIIRS,n,2.0NRT,284.44,0.86,N
51.77426,-3.34035,295.62,0.68,0.74,2026-08-12,111,N,VIIRS,n,2.0NRT,284.27,0.91,N
51.81182,-3.20906,298.16,0.67,0.73,2026-08-12,111,N,VIIRS,n,2.0NRT,283.08,1.58,N
51.81875,-3.20795,336.02,0.67,0.73,2026-08-12,111,N,VIIRS,n,2.0NRT,288.19,4.87,N
51.81896,-3.19801,313.21,0.67,0.73,2026-08-12,111,N,VIIRS,n,2.0NRT,286.59,4.87,N
51.81917,-3.18768,297.32,0.67,0.73,2026-08-12,111,N,VIIRS,n,2.0NRT,283.95,1.14,N
51.39853,-3.39592,305.58,0.45,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,286.56,1.35,N
51.48139,-3.14003,300.57,0.45,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,289.29,0.59,N
51.66852,-3.43659,296.03,0.44,0.38,2026-08-12,251,N,VIIRS,n,2.0NRT,285.62,0.61,N
51.67552,-3.45295,301.42,0.44,0.38,2026-08-12,251,N,VIIRS,n,2.0NRT,285.14,0.71,N
51.71603,-3.39736,306.44,0.44,0.38,2026-08-12,251,N,VIIRS,n,2.0NRT,287.85,1.65,N
51.77459,-3.33311,299.31,0.44,0.38,2026-08-12,251,N,VIIRS,n,2.0NRT,285.3,0.79,N
51.77581,-3.3393,320.51,0.44,0.38,2026-08-12,251,N,VIIRS,n,2.0NRT,288.76,2.88,N
51.81371,-3.19554,315.3,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,288.45,2.02,N
51.81497,-3.2018,311.83,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,286.01,1.76,N
51.81623,-3.20806,313.08,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,285.53,1.76,N
51.81714,-3.19383,303.73,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,286.44,1.06,N
51.8184,-3.2001,337.52,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,295.04,4.47,N
51.81932,-3.18593,307.86,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,287.14,1.06,N
51.81967,-3.20638,349.88,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,299.21,4.47,N
51.82057,-3.19213,296.54,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,285.72,1.06,N
51.82093,-3.21264,321.76,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,286.9,2.74,N
51.82183,-3.19839,305.33,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,286.92,4.47,N
51.82275,-3.18424,297.5,0.44,0.39,2026-08-12,251,N,VIIRS,n,2.0NRT,285.36,1.16,N
