date,sst_c,clim_sst_c,anomaly_c
2018-01-01 00:00:00+00:00,9.7329,10.1631,-0.4302
2018-01-02 00:00:00+00:00,9.8224,10.1401,-0.3177
2018-01-03 00:00:00+00:00,9.8711,10.0855,-0.2144
2018-01-04 00:00:00+00:00,9.8377,10.0623,-0.2246
2018-01-05 00:00:00+00:00,9.8057,10.0171,-0.2114
2018-01-06 00:00:00+00:00,9.6865,9.9840,-0.2975
2018-01-07 00:00:00+00:00,9.6228,9.9166,-0.2938
2018-01-08 00:00:00+00:00,9.5372,9.8604,-0.3232
2018-01-09 00:00:00+00:00,9.0651,9.7757,-0.7106
2018-01-10 00:00:00+00:00,9.4441,9.7429,-0.2988
2018-01-11 00:00:00+00:00,9.3644,9.7183,-0.3539
2018-01-12 00:00:00+00:00,9.1891,9.6624,-0.4733
2018-01-13 00:00:00+00:00,9.1863,9.6391,-0.4528
2018-01-14 00:00:00+00:00,9.2266,9.6015,-0.3749
2018-01-15 00:00:00+00:00,9.2556,9.5726,-0.3170
2018-01-16 00:00:00+00:00,9.1617,9.5290,-0.3673
2018-01-17 00:00:00+00:00,9.1284,9.4413,-0.3129
2018-01-18 00:00:00+00:00,9.1216,9.3759,-0.2543
2018-01-19 00:00:00+00:00,9.0241,9.3542,-0.3301
2018-01-20 00:00:00+00:00,9.0028,9.3125,-0.3097
2018-01-21 00:00:00+00:00,9.0218,9.2821,-0.2603
2018-01-22 00:00:00+00:00,9.0227,9.2261,-0.2034
2018-01-23 00:00:00+00:00,9.0109,9.1722,-0.1613
2018-01-24 00:00:00+00:00,9.0079,9.1329,-0.1250
2018-01-25 00:00:00+00:00,8.8886,9.0917,-0.2031
2018-01-26 00:00:00+00:00,8.8076,9.1019,-0.2943
2018-01-27 00:00:00+00:00,8.8045,9.0843,-0.2798
2018-01-28 00:00:00+00:00,8.6829,9.0016,-0.3187
2018-01-29 00:00:00+00:00,8.6776,8.9679,-0.2903
2018-01-30 00:00:00+00:00,8.7128,9.0272,-0.3144
2018-01-31 00:00:00+00:00,8.7065,8.9814,-0.2749
2018-02-01 00:00:00+00:00,8.6579,8.9588,-0.3009
2018-02-02 00:00:00+00:00,8.5813,8.9492,-0.3679
2018-02-03 00:00:00+00:00,8.5787,8.8239,-0.2452
2018-02-04 00:00:00+00:00,8.5889,8.8257,-0.2368
2018-02-05 00:00:00+00:00,8.4931,8.9498,-0.4567
2018-02-06 00:00:00+00:00,8.4927,8.8718,-0.3791
2018-02-07 00:00:00+00:00,8.4145,8.8232,-0.4087
2018-02-08 00:00:00+00:00,8.4125,8.8151,-0.4026
2018-02-09 00:00:00+00:00,8.3841,8.7523,-0.3682
2018-02-10 00:00:00+00:00,8.2897,8.6975,-0.4078
2018-02-11 00:00:00+00:00,8.2899,8.6198,-0.3299
2018-02-12 00:00:00+00:00,8.1532,8.5906,-0.4374
2018-02-13 00:00:00+00:00,8.2010,8.6164,-0.4154
2018-02-14 00:00:00+00:00,8.0913,8.5634,-0.4721
2018-02-15 00:00:00+00:00,8.0996,8.5576,-0.4580
2018-02-16 00:00:00+00:00,8.0720,8.4999,-0.4279
2018-02-17 00:00:00+00:00,8.0371,8.4899,-0.4528
2018-02-18 00:00:00+00:00,8.0273,8.4971,-0.4698
2018-02-19 00:00:00+00:00,8.0276,8.5152,-0.4876
2018-02-20 00:00:00+00:00,8.0876,8.4581,-0.3705
2018-02-21 00:00:00+00:00,8.0023,8.3927,-0.3904
2018-02-22 00:00:00+00:00,7.9855,8.4095,-0.4240
2018-02-23 00:00:00+00:00,7.9399,8.4707,-0.5308
2018-02-24 00:00:00+00:00,7.9070,8.4832,-0.5762
2018-02-25 00:00:00+00:00,7.8581,8.4873,-0.6292
2018-02-26 00:00:00+00:00,7.8163,8.5367,-0.7204
2018-02-27 00:00:00+00:00,7.8173,8.5787,-0.7614
2018-02-28 00:00:00+00:00,7.6968,8.5577,-0.8609
2018-03-01 00:00:00+00:00,7.6951,8.5389,-0.8438
2018-03-02 00:00:00+00:00,7.6927,8.4663,-0.7736
2018-03-03 00:00:00+00:00,7.6905,8.3573,-0.6668
2018-03-04 00:00:00+00:00,7.6481,8.3423,-0.6942
2018-03-05 00:00:00+00:00,7.6215,8.3477,-0.7262
2018-03-06 00:00:00+00:00,7.6538,8.3029,-0.6491
2018-03-07 00:00:00+00:00,7.4626,8.2842,-0.8216
2018-03-08 00:00:00+00:00,7.2850,8.2597,-0.9747
2018-03-09 00:00:00+00:00,7.0455,8.2808,-1.2353
2018-03-10 00:00:00+00:00,7.0436,8.2509,-1.2073
2018-03-11 00:00:00+00:00,6.9711,8.1901,-1.2190
2018-03-12 00:00:00+00:00,6.9690,8.2014,-1.2324
2018-03-13 00:00:00+00:00,7.0350,8.1635,-1.1285
2018-03-14 00:00:00+00:00,7.0333,8.1085,-1.0752
2018-03-15 00:00:00+00:00,7.0314,8.0826,-1.0512
2018-03-16 00:00:00+00:00,7.0331,8.1067,-1.0736
2018-03-17 00:00:00+00:00,7.0423,8.2347,-1.1924
2018-03-18 00:00:00+00:00,7.0886,8.2492,-1.1606
2018-03-19 00:00:00+00:00,7.0871,8.3501,-1.2630
2018-03-20 00:00:00+00:00,7.0325,8.2897,-1.2572
2018-03-21 00:00:00+00:00,6.9383,8.2557,-1.3174
2018-03-22 00:00:00+00:00,6.9359,8.2403,-1.3044
2018-03-23 00:00:00+00:00,7.1004,8.3484,-1.2480
2018-03-24 00:00:00+00:00,7.0987,8.4929,-1.3942
2018-03-25 00:00:00+00:00,6.9835,8.5759,-1.5924
2018-03-26 00:00:00+00:00,7.0616,8.6203,-1.5587
2018-03-27 00:00:00+00:00,7.0577,8.7594,-1.7017
2018-03-28 00:00:00+00:00,7.0699,8.8016,-1.7317
2018-03-29 00:00:00+00:00,7.0987,8.7748,-1.6761
2018-03-30 00:00:00+00:00,7.1257,8.7809,-1.6552
2018-03-31 00:00:00+00:00,7.1118,8.7563,-1.6445
2018-04-01 00:00:00+00:00,7.1446,8.7341,-1.5895
2018-04-02 00:00:00+00:00,7.1430,8.7349,-1.5919
2018-04-03 00:00:00+00:00,7.1509,8.8557,-1.7048
2018-04-04 00:00:00+00:00,7.1564,8.8335,-1.6771
2018-04-05 00:00:00+00:00,7.2669,8.8628,-1.5959
2018-04-06 00:00:00+00:00,7.2693,8.8561,-1.5868
2018-04-07 00:00:00+00:00,7.2691,8.9272,-1.6581
2018-04-08 00:00:00+00:00,7.3226,8.8998,-1.5772
2018-04-09 00:00:00+00:00,7.5303,8.9070,-1.3767
2018-04-10 00:00:00+00:00,7.5270,8.9240,-1.3970
2018-04-11 00:00:00+00:00,7.5052,8.9233,-1.4181
2018-04-12 00:00:00+00:00,7.4870,8.9452,-1.4582
2018-04-13 00:00:00+00:00,7.5251,8.9658,-1.4407
2018-04-14 00:00:00+00:00,7.6254,9.0635,-1.4381
2018-04-15 00:00:00+00:00,7.7723,9.1549,-1.3826
2018-04-16 00:00:00+00:00,7.8271,9.2298,-1.4027
2018-04-17 00:00:00+00:00,7.8250,9.1679,-1.3429
2018-04-18 00:00:00+00:00,7.9473,9.2661,-1.3188
2018-04-19 00:00:00+00:00,8.2494,9.2736,-1.0242
2018-04-20 00:00:00+00:00,8.2842,9.3181,-1.0339
2018-04-21 00:00:00+00:00,8.1365,9.3987,-1.2622
2018-04-22 00:00:00+00:00,8.3585,9.5780,-1.2195
2018-04-23 00:00:00+00:00,8.2830,9.5925,-1.3095
2018-04-24 00:00:00+00:00,8.2764,9.5913,-1.3149
2018-04-25 00:00:00+00:00,8.4327,9.6539,-1.2212
2018-04-26 00:00:00+00:00,8.7545,9.7433,-0.9888
2018-04-27 00:00:00+00:00,8.7510,9.7066,-0.9556
2018-04-28 00:00:00+00:00,8.6224,9.6359,-1.0135
2018-04-29 00:00:00+00:00,8.6351,9.7142,-1.0791
2018-04-30 00:00:00+00:00,8.7120,9.6892,-0.9772
2018-05-01 00:00:00+00:00,8.8294,9.8141,-0.9847
2018-05-02 00:00:00+00:00,8.8260,9.9211,-1.0951
2018-05-03 00:00:00+00:00,8.8542,9.9815,-1.1273
2018-05-04 00:00:00+00:00,8.8093,10.0558,-1.2465
2018-05-05 00:00:00+00:00,8.9227,10.1415,-1.2188
2018-05-06 00:00:00+00:00,8.9389,10.1141,-1.1752
2018-05-07 00:00:00+00:00,9.2058,10.2477,-1.0419
2018-05-08 00:00:00+00:00,9.3485,10.2415,-0.8930
2018-05-09 00:00:00+00:00,9.5219,10.2330,-0.7111
2018-05-10 00:00:00+00:00,9.4998,10.3644,-0.8646
2018-05-11 00:00:00+00:00,9.6207,10.4074,-0.7867
2018-05-12 00:00:00+00:00,9.5788,10.6178,-1.0390
2018-05-13 00:00:00+00:00,9.6867,10.6761,-0.9894
2018-05-14 00:00:00+00:00,9.7749,10.7901,-1.0152
2018-05-15 00:00:00+00:00,9.8227,10.8783,-1.0556
2018-05-16 00:00:00+00:00,9.8346,10.9195,-1.0849
2018-05-17 00:00:00+00:00,9.8701,11.0135,-1.1434
2018-05-18 00:00:00+00:00,9.8590,11.0155,-1.1565
2018-05-19 00:00:00+00:00,10.0759,11.1109,-1.0350
2018-05-20 00:00:00+00:00,10.1186,11.1476,-1.0290
2018-05-21 00:00:00+00:00,10.1255,11.3126,-1.1871
2018-05-22 00:00:00+00:00,10.1078,11.3432,-1.2354
2018-05-23 00:00:00+00:00,10.4556,11.3647,-0.9091
2018-05-24 00:00:00+00:00,10.8123,11.4000,-0.5877
2018-05-25 00:00:00+00:00,10.7633,11.4849,-0.7216
2018-05-26 00:00:00+00:00,10.7658,11.5451,-0.7793
2018-05-27 00:00:00+00:00,10.7250,11.7787,-1.0537
2018-05-28 00:00:00+00:00,10.9198,11.7372,-0.8174
2018-05-29 00:00:00+00:00,11.2041,11.8112,-0.6071
2018-05-30 00:00:00+00:00,11.3127,12.0358,-0.7231
2018-05-31 00:00:00+00:00,11.2971,12.1496,-0.8525
2018-06-01 00:00:00+00:00,11.2871,12.2879,-1.0008
2018-06-02 00:00:00+00:00,11.3768,12.4130,-1.0362
2018-06-03 00:00:00+00:00,11.7387,12.5052,-0.7665
2018-06-04 00:00:00+00:00,12.0649,12.5006,-0.4357
2018-06-05 00:00:00+00:00,12.1483,12.5862,-0.4379
2018-06-06 00:00:00+00:00,12.1797,12.6408,-0.4611
2018-06-07 00:00:00+00:00,12.6289,12.7866,-0.1577
2018-06-08 00:00:00+00:00,12.7060,12.7226,-0.0166
2018-06-09 00:00:00+00:00,12.8434,12.8391,0.0043
2018-06-10 00:00:00+00:00,13.1184,12.8305,0.2879
2018-06-11 00:00:00+00:00,13.1091,12.8563,0.2528
2018-06-12 00:00:00+00:00,13.2418,12.9671,0.2747
2018-06-13 00:00:00+00:00,13.2182,13.0674,0.1508
2018-06-14 00:00:00+00:00,13.2513,13.2383,0.0130
2018-06-15 00:00:00+00:00,13.1082,13.3410,-0.2328
2018-06-16 00:00:00+00:00,13.1493,13.4469,-0.2976
2018-06-17 00:00:00+00:00,13.1454,13.4746,-0.3292
2018-06-18 00:00:00+00:00,13.1117,13.4919,-0.3802
2018-06-19 00:00:00+00:00,13.0070,13.4941,-0.4871
2018-06-20 00:00:00+00:00,13.0795,13.5405,-0.4610
2018-06-21 00:00:00+00:00,13.0077,13.7438,-0.7361
2018-06-22 00:00:00+00:00,13.2330,13.8240,-0.5910
