latitude,longitude,sst_c,clim_sst,anomaly_c
51.2100,-6.4900,17.8900,16.5540,1.3360
51.2100,-6.4700,17.8700,16.5340,1.3360
51.2100,-6.4500,17.8800,16.5160,1.3640
51.2100,-6.4300,17.8900,16.5220,1.3680
51.2100,-6.4100,17.9200,16.5260,1.3940
51.2100,-6.3900,18.0400,16.5440,1.4960
51.2100,-6.3700,18.1800,16.5560,1.6240
51.2100,-6.3500,18.3700,16.5540,1.8160
51.2100,-6.3300,18.5100,16.5380,1.9720
51.2100,-6.3100,18.6300,16.5400,2.0900
51.2100,-6.2900,18.7600,16.5360,2.2240
51.2100,-6.2700,18.8700,16.5420,2.3280
51.2100,-6.2500,18.9300,16.5760,2.3540
51.2100,-6.2300,19.0100,16.6080,2.4020
51.2100,-6.2100,19.0700,16.6440,2.4260
51.2100,-6.1900,19.0800,16.6700,2.4100
51.2100,-6.1700,19.1200,16.7180,2.4020
51.2100,-6.1500,19.1300,16.7420,2.3880
51.2100,-6.1300,19.1500,16.7680,2.3820
51.2100,-6.1100,19.1800,16.7820,2.3980
51.2100,-6.0900,19.2000,16.7900,2.4100
51.2100,-6.0700,19.2400,16.8100,2.4300
51.2100,-6.0500,19.3000,16.8340,2.4660
51.2100,-6.0300,19.3500,16.8620,2.4880
51.2100,-6.0100,19.4300,16.8880,2.5420
51.2100,-5.9900,19.4800,16.9280,2.5520
51.2100,-5.9700,19.5200,16.9720,2.5480
51.2100,-5.9500,19.5400,17.0120,2.5280
51.2100,-5.9300,19.5700,17.0260,2.5440
51.2100,-5.9100,19.5700,17.0320,2.5380
51.2100,-5.8900,19.5600,17.0360,2.5240
51.2100,-5.8700,19.5700,17.0400,2.5300
51.2100,-5.8500,19.5600,17.0620,2.4980
51.2100,-5.8300,19.5300,17.0860,2.4440
51.2100,-5.8100,19.5500,17.1180,2.4320
51.2100,-5.7900,19.5500,17.1660,2.3840
51.2100,-5.7700,19.5700,17.2020,2.3680
51.2100,-5.7500,19.5800,17.2200,2.3600
51.2100,-5.7300,19.5900,17.2500,2.3400
51.2100,-5.7100,19.6000,17.2640,2.3360
51.2100,-5.6900,19.6000,17.2640,2.3360
51.2100,-5.6700,19.5800,17.2620,2.3180
51.2100,-5.6500,19.5600,17.2600,2.3000
51.2100,-5.6300,19.5500,17.2520,2.2980
51.2100,-5.6100,19.5600,17.2500,2.3100
51.2100,-5.5900,19.5700,17.2440,2.3260
51.2100,-5.5700,19.6000,17.2460,2.3540
51.2100,-5.5500,19.5900,17.2580,2.3320
51.2100,-5.5300,19.5900,17.2700,2.3200
51.2100,-5.5100,19.5500,17.2800,2.2700
51.2100,-5.4900,19.5100,17.2940,2.2160
51.2100,-5.4700,19.5000,17.3020,2.1980
51.2100,-5.4500,19.4300,17.3060,2.1240
51.2100,-5.4300,19.3700,17.2980,2.0720
51.2100,-5.4100,19.3300,17.2960,2.0340
51.2100,-5.3900,19.2600,17.2940,1.9660
51.2100,-5.3700,19.2500,17.3000,1.9500
51.2100,-5.3500,19.1200,17.2980,1.8220
51.2100,-5.3300,19.1100,17.3100,1.8000
51.2100,-5.3100,19.1300,17.3220,1.8080
51.2100,-5.2900,19.1700,17.3480,1.8220
51.2100,-5.2700,19.2300,17.3680,1.8620
51.2100,-5.2500,19.2600,17.3960,1.8640
51.2100,-5.2300,19.3000,17.4120,1.8880
51.2100,-5.2100,19.3300,17.3980,1.9320
51.2100,-5.1900,19.3200,17.3920,1.9280
51.2100,-5.1700,19.3300,17.3720,1.9580
51.2100,-5.1500,19.3000,17.3640,1.9360
51.2100,-5.1300,19.2600,17.3360,1.9240
51.2100,-5.1100,19.2100,17.3160,1.8940
51.2100,-5.0900,19.1200,17.2860,1.8340
51.2100,-5.0700,19.0200,17.2880,1.7320
51.2100,-5.0500,18.8900,17.2820,1.6080
51.2100,-5.0300,18.8200,17.2460,1.5740
51.2100,-5.0100,18.7500,17.2300,1.5200
51.2100,-4.9900,18.7200,17.2440,1.4760
51.2100,-4.9700,18.7000,17.2700,1.4300
