date,sst_c,clim_sst_c,anomaly_c
1870-01-01 00:00:00+00:00,8.7317,9.8286,-1.0970
1870-02-01 00:00:00+00:00,7.7424,8.9794,-1.2370
1870-03-01 00:00:00+00:00,7.8641,8.7042,-0.8401
1870-04-01 00:00:00+00:00,8.7469,9.5414,-0.7945
1870-05-01 00:00:00+00:00,10.3754,11.1406,-0.7652
1870-06-01 00:00:00+00:00,12.6280,13.4325,-0.8045
1870-07-01 00:00:00+00:00,14.8085,15.3079,-0.4994
1870-08-01 00:00:00+00:00,15.9519,16.2735,-0.3216
1870-09-01 00:00:00+00:00,16.0064,15.7145,0.2918
1870-10-01 00:00:00+00:00,14.5547,14.4542,0.1005
1870-11-01 00:00:00+00:00,12.4507,12.6608,-0.2100
1870-12-01 00:00:00+00:00,10.2950,11.0241,-0.7291
1871-01-01 00:00:00+00:00,9.0224,9.8286,-0.8062
1871-02-01 00:00:00+00:00,7.9049,8.9794,-1.0744
1871-03-01 00:00:00+00:00,8.1832,8.7042,-0.5210
1871-04-01 00:00:00+00:00,8.9427,9.5414,-0.5987
1871-05-01 00:00:00+00:00,10.2763,11.1406,-0.8643
1871-06-01 00:00:00+00:00,12.3669,13.4325,-1.0656
1871-07-01 00:00:00+00:00,14.6152,15.3079,-0.6927
1871-08-01 00:00:00+00:00,15.7072,16.2735,-0.5663
1871-09-01 00:00:00+00:00,15.0575,15.7145,-0.6570
1871-10-01 00:00:00+00:00,13.5097,14.4542,-0.9445
1871-11-01 00:00:00+00:00,11.6825,12.6608,-0.9783
1871-12-01 00:00:00+00:00,10.2339,11.0241,-0.7901
1872-01-01 00:00:00+00:00,9.1566,9.8286,-0.6721
1872-02-01 00:00:00+00:00,8.4601,8.9794,-0.5192
1872-03-01 00:00:00+00:00,8.1976,8.7042,-0.5066
1872-04-01 00:00:00+00:00,8.7053,9.5414,-0.8361
1872-05-01 00:00:00+00:00,10.5172,11.1406,-0.6233
1872-06-01 00:00:00+00:00,12.8264,13.4325,-0.6061
1872-07-01 00:00:00+00:00,14.7390,15.3079,-0.5689
