date,sst_c
2018-01-01 00:00:00+00:00,9.7329
2018-01-02 00:00:00+00:00,9.8224
2018-01-03 00:00:00+00:00,9.8711
2018-01-04 00:00:00+00:00,9.8377
2018-01-05 00:00:00+00:00,9.8057
2018-01-06 00:00:00+00:00,9.6865
2018-01-07 00:00:00+00:00,9.6228
2018-01-08 00:00:00+00:00,9.5372
2018-01-09 00:00:00+00:00,9.0651
2018-01-10 00:00:00+00:00,9.4441
2018-01-11 00:00:00+00:00,9.3644
2018-01-12 00:00:00+00:00,9.1891
2018-01-13 00:00:00+00:00,9.1863
2018-01-14 00:00:00+00:00,9.2266
2018-01-15 00:00:00+00:00,9.2556
2018-01-16 00:00:00+00:00,9.1617
2018-01-17 00:00:00+00:00,9.1284
2018-01-18 00:00:00+00:00,9.1216
2018-01-19 00:00:00+00:00,9.0241
2018-01-20 00:00:00+00:00,9.0028
2018-01-21 00:00:00+00:00,9.0218
2018-01-22 00:00:00+00:00,9.0227
2018-01-23 00:00:00+00:00,9.0109
2018-01-24 00:00:00+00:00,9.0079
2018-01-25 00:00:00+00:00,8.8886
2018-01-26 00:00:00+00:00,8.8076
2018-01-27 00:00:00+00:00,8.8045
2018-01-28 00:00:00+00:00,8.6829
2018-01-29 00:00:00+00:00,8.6776
2018-01-30 00:00:00+00:00,8.7128
2018-01-31 00:00:00+00:00,8.7065
2018-02-01 00:00:00+00:00,8.6579
2018-02-02 00:00:00+00:00,8.5813
2018-02-03 00:00:00+00:00,8.5787
2018-02-04 00:00:00+00:00,8.5889
2018-02-05 00:00:00+00:00,8.4931
2018-02-06 00:00:00+00:00,8.4927
2018-02-07 00:00:00+00:00,8.4145
2018-02-08 00:00:00+00:00,8.4125
2018-02-09 00:00:00+00:00,8.3841
2018-02-10 00:00:00+00:00,8.2897
2018-02-11 00:00:00+00:00,8.2899
2018-02-12 00:00:00+00:00,8.1532
2018-02-13 00:00:00+00:00,8.2010
2018-02-14 00:00:00+00:00,8.0913
2018-02-15 00:00:00+00:00,8.0996
2018-02-16 00:00:00+00:00,8.0720
2018-02-17 00:00:00+00:00,8.0371
2018-02-18 00:00:00+00:00,8.0273
2018-02-19 00:00:00+00:00,8.0276
2018-02-20 00:00:00+00:00,8.0876
2018-02-21 00:00:00+00:00,8.0023
2018-02-22 00:00:00+00:00,7.9855
2018-02-23 00:00:00+00:00,7.9399
2018-02-24 00:00:00+00:00,7.9070
2018-02-25 00:00:00+00:00,7.8581
2018-02-26 00:00:00+00:00,7.8163
2018-02-27 00:00:00+00:00,7.8173
2018-02-28 00:00:00+00:00,7.6968
2018-03-01 00:00:00+00:00,7.6951
2018-03-02 00:00:00+00:00,7.6927
2018-03-03 00:00:00+00:00,7.6905
2018-03-04 00:00:00+00:00,7.6481
2018-03-05 00:00:00+00:00,7.6215
2018-03-06 00:00:00+00:00,7.6538
2018-03-07 00:00:00+00:00,7.4626
2018-03-08 00:00:00+00:00,7.2850
2018-03-09 00:00:00+00:00,7.0455
2018-03-10 00:00:00+00:00,7.0436
2018-03-11 00:00:00+00:00,6.9711
2018-03-12 00:00:00+00:00,6.9690
2018-03-13 00:00:00+00:00,7.0350
2018-03-14 00:00:00+00:00,7.0333
2018-03-15 00:00:00+00:00,7.0314
