date,year,season,sst_nino34,oni
1950-01-15 00:00:00+00:00,1950,DJF,25.01,-1.32
1950-02-15 00:00:00+00:00,1950,JFM,25.36,-1.2
1950-03-15 00:00:00+00:00,1950,FMA,25.88,-1.12
1950-04-15 00:00:00+00:00,1950,MAM,26.24,-1.08
1950-05-15 00:00:00+00:00,1950,AMJ,26.35,-1.1
1950-06-15 00:00:00+00:00,1950,MJJ,26.32,-0.9
1950-07-15 00:00:00+00:00,1950,JJA,26.24,-0.62
1950-08-15 00:00:00+00:00,1950,JAS,25.94,-0.57
1950-09-15 00:00:00+00:00,1950,ASO,25.76,-0.56
1950-10-15 00:00:00+00:00,1950,SON,25.6,-0.62
1950-11-15 00:00:00+00:00,1950,OND,25.55,-0.66
1950-12-15 00:00:00+00:00,1950,NDJ,25.41,-0.79
1951-01-15 00:00:00+00:00,1951,DJF,25.67,-0.66
1951-02-15 00:00:00+00:00,1951,JFM,26.2,-0.36
1951-03-15 00:00:00+00:00,1951,FMA,26.96,-0.04
1951-04-15 00:00:00+00:00,1951,MAM,27.48,0.16
1951-05-15 00:00:00+00:00,1951,AMJ,27.72,0.27
1951-06-15 00:00:00+00:00,1951,MJJ,27.72,0.5
1951-07-15 00:00:00+00:00,1951,JJA,27.57,0.71
1951-08-15 00:00:00+00:00,1951,JAS,27.41,0.9
1951-09-15 00:00:00+00:00,1951,ASO,27.34,1.02
1951-10-15 00:00:00+00:00,1951,SON,27.25,1.03
1951-11-15 00:00:00+00:00,1951,OND,27.18,0.96
1951-12-15 00:00:00+00:00,1951,NDJ,26.91,0.71
1952-01-15 00:00:00+00:00,1952,DJF,26.86,0.52
1952-02-15 00:00:00+00:00,1952,JFM,26.82,0.27
1952-03-15 00:00:00+00:00,1952,FMA,27.33,0.33
1952-04-15 00:00:00+00:00,1952,MAM,27.5,0.18
1952-05-15 00:00:00+00:00,1952,AMJ,27.38,-0.07
1952-06-15 00:00:00+00:00,1952,MJJ,26.78,-0.44
1952-07-15 00:00:00+00:00,1952,JJA,26.41,-0.45
1952-08-15 00:00:00+00:00,1952,JAS,26.31,-0.2
1952-09-15 00:00:00+00:00,1952,ASO,26.35,0.03
1952-10-15 00:00:00+00:00,1952,SON,26.26,0.04
1952-11-15 00:00:00+00:00,1952,OND,26.11,-0.11
1952-12-15 00:00:00+00:00,1952,NDJ,26.25,0.06
1953-01-15 00:00:00+00:00,1953,DJF,26.58,0.25
1953-02-15 00:00:00+00:00,1953,JFM,27.06,0.5
1953-03-15 00:00:00+00:00,1953,FMA,27.48,0.48
1953-04-15 00:00:00+00:00,1953,MAM,27.88,0.56
1953-05-15 00:00:00+00:00,1953,AMJ,28.22,0.77
1953-06-15 00:00:00+00:00,1953,MJJ,27.96,0.74
1953-07-15 00:00:00+00:00,1953,JJA,27.49,0.63
1953-08-15 00:00:00+00:00,1953,JAS,27.19,0.68
1953-09-15 00:00:00+00:00,1953,ASO,26.91,0.59
1953-10-15 00:00:00+00:00,1953,SON,27.0,0.78
1953-11-15 00:00:00+00:00,1953,OND,26.74,0.52
1953-12-15 00:00:00+00:00,1953,NDJ,26.76,0.56
1954-01-15 00:00:00+00:00,1954,DJF,26.74,0.41
1954-02-15 00:00:00+00:00,1954,JFM,26.91,0.35
1954-03-15 00:00:00+00:00,1954,FMA,27.01,0.01
1954-04-15 00:00:00+00:00,1954,MAM,27.04,-0.27
1954-05-15 00:00:00+00:00,1954,AMJ,26.97,-0.48
1954-06-15 00:00:00+00:00,1954,MJJ,26.74,-0.48
1954-07-15 00:00:00+00:00,1954,JJA,26.18,-0.67
1954-08-15 00:00:00+00:00,1954,JAS,25.68,-0.83
1954-09-15 00:00:00+00:00,1954,ASO,25.58,-0.73
1954-10-15 00:00:00+00:00,1954,SON,25.7,-0.52
1954-11-15 00:00:00+00:00,1954,OND,25.82,-0.4
1954-12-15 00:00:00+00:00,1954,NDJ,25.76,-0.44
1955-01-15 00:00:00+00:00,1955,DJF,25.83,-0.5
1955-02-15 00:00:00+00:00,1955,JFM,26.08,-0.48
1955-03-15 00:00:00+00:00,1955,FMA,26.42,-0.58
1955-04-15 00:00:00+00:00,1955,MAM,26.56,-0.76
1955-05-15 00:00:00+00:00,1955,AMJ,26.67,-0.78
1955-06-15 00:00:00+00:00,1955,MJJ,26.34,-0.88
1955-07-15 00:00:00+00:00,1955,JJA,26.13,-0.72
1955-08-15 00:00:00+00:00,1955,JAS,25.59,-0.92
